# entry-subent-pointer  : 21785-002-0 
# EXFOR reaction        : ['93-NP-237', ['N,F'], ',PR,NU'] 
# incident energy       : 1.1430e+00 MeV - 1.4656e+01 MeV 
# target                : Np-237 
# product               : - 
# level energy          : - 
# MF-MT number          : 1 - 456 
# first author          : J.Frehaut 
# institute             : (2FR BRC): CEA/DAM Ile-de-France, Bruyeres-le-Chatel, Arpajon 
# reference             : (C,82ANTWER,,78,1982) 
# year                  : 1982 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/217/21785.x4 
# nds                   : https://nds.iaea.org/EXFOR/21785
#
#     E_in(MeV)        dE_in(MeV)       Multiplicity            dMultiplicity
      1.14300E+00      2.40000E-01      2.70580E+00      2.06000E-02
      1.73400E+00      1.94000E-01      2.75940E+00      1.96000E-02
      2.29900E+00      1.63000E-01      2.84240E+00      2.24000E-02
      2.84600E+00      1.43000E-01      2.93200E+00      2.20000E-02
      3.38200E+00      1.28000E-01      3.01520E+00      2.45000E-02
      3.91200E+00      1.15000E-01      3.08430E+00      2.42000E-02
      4.43500E+00      1.06000E-01      3.19320E+00      2.51000E-02
      4.95200E+00      1.02000E-01      3.27240E+00      2.53000E-02
      5.47200E+00      9.30000E-02      3.36820E+00      2.54000E-02
      5.99000E+00      8.50000E-02      3.43710E+00      2.53000E-02
      6.03000E+00      3.35000E-01      3.45120E+00      2.30000E-02
      6.50200E+00      8.00000E-02      3.53600E+00      2.84000E-02
      6.61200E+00      2.85000E-01      3.55970E+00      2.17000E-02
      7.16700E+00      2.50000E-01      3.62100E+00      2.12000E-02
      7.70600E+00      2.25000E-01      3.70840E+00      2.17000E-02
      8.23300E+00      2.05000E-01      3.78490E+00      2.33000E-02
      8.75000E+00      1.85000E-01      3.88180E+00      2.52000E-02
      9.25900E+00      1.70000E-01      3.98820E+00      2.49000E-02
      9.76600E+00      1.60000E-01      4.02900E+00      3.16000E-02
      1.02650E+01      1.50000E-01      4.12080E+00      2.85000E-02
      1.07620E+01      1.40000E-01      4.17940E+00      2.75000E-02
      1.12570E+01      1.35000E-01      4.28690E+00      3.21000E-02
      1.17480E+01      1.25000E-01      4.36370E+00      3.87000E-02
      1.22370E+01      1.20000E-01      4.41840E+00      3.21000E-02
      1.27240E+01      1.15000E-01      4.46940E+00      3.35000E-02
      1.32080E+01      1.10000E-01      4.52390E+00      3.06000E-02
      1.36920E+01      1.05000E-01      4.58560E+00      3.29000E-02
      1.41750E+01      1.00000E-01      4.65480E+00      3.67000E-02
      1.46560E+01      9.50000E-02      4.70180E+00      4.69000E-02
