# entry-subent-pointer  : 22792--00-2-0 
# EXFOR reaction        : ['92-U-235', ['N,F'], 'ELEM/MASS,CUM,FY,,MXW'] 
# incident energy       : 2.50e-08 MeV 
# target                : U-235 
# product               : - 
# level energy          : - 
# MF-MT number          : 8 - 459 
# first author          : M.Brasca 
# institute             : (2ITYMIP): Politecnico di Milano 
# reference             : (J,EN,20,691,1973) 
# year                  : 1973 
# facility              : (REAC): Reactor 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/227/22792.x4 
# nds                   : https://nds.iaea.org/EXFOR/22792
#
# Charge(No Dim.)    Mass(No Dim.)  Isomer(No Dim.)    Yield(%/fiss)   dYield(%/fiss)
             36.0             85.0              1.0      1.30000E-02      2.99000E-04
             36.0             88.0              nan      3.60000E-02      1.80000E-04
             38.0             91.0              nan      5.71000E-02      2.85500E-04
             38.0             92.0              nan      5.92000E-02      2.96000E-04
             40.0             97.0              nan      5.85000E-02      2.92500E-04
             52.0            132.0              nan      4.15000E-02      6.22500E-04
             53.0            131.0              nan      2.79000E-02      3.90600E-04
             53.0            133.0              nan      6.73000E-02      4.03800E-04
             53.0            135.0              nan      6.23000E-02      1.24600E-03
             56.0            140.0              nan      6.29000E-02      3.14500E-04
             57.0            142.0              nan      5.86000E-02      2.93000E-04
             58.0            143.0              nan      5.80000E-02      2.90000E-04
