# entry-subent-pointer  : C0925--04-6-0 
# EXFOR reaction        : ['6-C-12', ['P,X'], '2-HE-3,,DE'] 
# incident energy       : 6.10e+01 MeV 
# target                : C-12 
# product               : He-3 
# level energy          : 7.16e+00 MeV 
# MF-MT number          : 5 - residual 
# first author          : F.E.Bertrand 
# institute             : (1USAORL): Oak Ridge National Laboratory, Oak Ridge, TN 
# reference             : (J,PR/C,8,1045,1973) 
# year                  : 1973 
# facility              : (ISOCY): Isochronous cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C09/C0925.x4 
# nds                   : https://nds.iaea.org/EXFOR/C0925
#
#          E(MeV)          dE(MeV)      data(MB/MeV)   ddata(MB/MeV)
      7.16000E+00      0.00000E+00      1.71000E-09              NAN
      9.61000E+00      0.00000E+00      1.31000E-09              NAN
      1.17100E+01      0.00000E+00      9.90000E-10              NAN
      1.40300E+01      0.00000E+00      8.10000E-10              NAN
      1.63800E+01      0.00000E+00      6.30000E-10              NAN
      1.87400E+01      0.00000E+00      5.40000E-10              NAN
      2.00000E+01      0.00000E+00      4.80000E-10              NAN
      2.10000E+01      0.00000E+00      4.50000E-10              NAN
      2.20000E+01      0.00000E+00      4.10000E-10              NAN
      2.30000E+01      0.00000E+00      3.90000E-10              NAN
      2.40000E+01      0.00000E+00      3.60000E-10              NAN
      2.50000E+01      0.00000E+00      3.30000E-10              NAN
      2.60000E+01      0.00000E+00      3.10000E-10              NAN
      2.70000E+01      0.00000E+00      2.80000E-10              NAN
      2.80000E+01      0.00000E+00      3.00000E-10              NAN
      2.90000E+01      0.00000E+00      3.20000E-10              NAN
      3.00000E+01      0.00000E+00      3.30000E-10              NAN
      3.10000E+01      0.00000E+00      3.20000E-10              NAN
      3.20000E+01      0.00000E+00      2.40000E-10              NAN
      3.30000E+01      0.00000E+00      1.40000E-10              NAN
      3.40000E+01      0.00000E+00      2.60000E-10              NAN
      3.50000E+01      0.00000E+00      4.60000E-10              NAN
      3.60000E+01      0.00000E+00      5.00000E-10              NAN
      3.70000E+01      0.00000E+00      5.30000E-10              NAN
      3.80000E+01      0.00000E+00      6.50000E-10              NAN
      3.90000E+01      0.00000E+00      1.00000E-11              NAN
