# entry-subent-pointer  : 41746-003-1 
# EXFOR reaction        : ['102-NO-252', ['0,F'], ',PR/NUM,NU'] 
# incident energy       : 0.00e+00 MeV 
# target                : No-252 
# product               : - 
# level energy          : - 
# MF-MT number          : 1 - Miscellaneous 
# first author          : A.V.Isaev 
# institute             : (4ZZZDUB): Joint Institute for Nuclear Research (JINR), Dubna 
# reference             : (J,APP/BS,14,835,2021) 
# year                  : 2021 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/417/41746.x4 
# nds                   : https://nds.iaea.org/EXFOR/41746
#
#     E_in(MeV)        dE_in(MeV)       Multiplicity            dMultiplicity
      0.00000E+00      0.00000E+00      6.90000E-02      5.00000E-03
      0.00000E+00      0.00000E+00      2.06000E-01      8.00000E-03
      0.00000E+00      0.00000E+00      3.03000E-01      7.00000E-03
      0.00000E+00      0.00000E+00      2.45000E-01      5.00000E-03
      0.00000E+00      0.00000E+00      1.25000E-01      3.00000E-03
      0.00000E+00      0.00000E+00      4.10000E-02      2.00000E-03
      0.00000E+00      0.00000E+00      1.00000E-02      1.00000E-03
      0.00000E+00      0.00000E+00      1.00000E-03      1.00000E-03
      0.00000E+00      0.00000E+00      0.00000E+00      1.00000E-03
      0.00000E+00      0.00000E+00      0.00000E+00      0.00000E+00
