# entry-subent-pointer  : 41694--00-3-0 
# EXFOR reaction        : ['94-PU-239', ['N,F'], 'MASS,PR/FRG,NU,,SPA'] 
# incident energy       : 2.53e-08 MeV 
# target                : Pu-239 
# product               : 73.794 <= mass <= 165.43 
# level energy          : - 
# MF-MT number          : 1 - Miscellaneous 
# first author          : Yu.S.Zamyatnin 
# institute             : (4RUSNIR): NIIAR Dimitrovgrad 
# reference             : (J,SNP,29,305,1979) 
# year                  : 1979 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/416/41694.x4 
# nds                   : https://nds.iaea.org/EXFOR/41694
#
# Charge(No Dim.)    Mass(No Dim.)  Isomer(No Dim.)    Yield(%/fiss)   dYield(%/fiss)
              nan           73.794              nan      5.60400E-01      3.37300E-01
              nan           75.342              nan      7.00300E-01      2.73700E-01
              nan           76.891              nan      9.35700E-01      2.03700E-01
              nan           77.968              nan      7.25700E-01      1.27300E-01
              nan           79.665              nan      6.49200E-01      9.55000E-02
              nan           81.063              nan      1.01190E+00      1.27300E-01
              nan           82.759              nan      8.90900E-01      1.01800E-01
              nan           84.151              nan      1.01180E+00      6.36000E-02
              nan           85.695              nan      9.79900E-01      5.73000E-02
              nan           87.242              nan      1.08800E+00      6.36000E-02
              nan           88.635              nan      1.20890E+00      7.00000E-02
              nan           90.179              nan      1.20250E+00      5.09000E-02
              nan           91.881              nan      1.33610E+00      4.46000E-02
              nan           93.115              nan      1.29780E+00      3.82000E-02
              nan           94.661              nan      1.36780E+00      3.82000E-02
              nan           96.362              nan      1.44410E+00      3.82000E-02
              nan           97.906              nan      1.45670E+00      4.46000E-02
              nan           99.142              nan      1.46310E+00      4.46000E-02
              nan           100.84              nan      1.45660E+00              NAN
              nan           102.23              nan      1.54570E+00              NAN
              nan           103.78              nan      1.51380E+00      3.18000E-02
              nan           105.32              nan      1.61560E+00      3.18000E-02
              nan           106.56              nan      1.81280E+00      2.55000E-02
              nan           107.96              nan      1.95910E+00      3.18000E-02
              nan           109.36              nan      2.36640E+00      5.09000E-02
              nan           110.75              nan      2.61450E+00      6.36000E-02
              nan            112.3              nan      2.82450E+00      1.27300E-01
              nan            113.7              nan      3.21900E+00      2.10000E-01
              nan           115.39              nan      2.81160E+00      3.05500E-01
              nan           116.62              nan      2.44880E+00      2.99100E-01
              nan           118.46              nan      2.25780E+00      2.80000E-01
              nan           119.71              nan      2.49330E+00      4.13700E-01
              nan           121.24              nan      1.89500E+00      3.37300E-01
              nan           122.93              nan      1.89490E+00      3.30900E-01
              nan           124.32              nan      1.69760E+00      2.99100E-01
              nan            126.0              nan      7.04700E-01      1.20900E-01
              nan           127.54              nan      5.77400E-01      9.55000E-02
              nan           129.23              nan      3.73600E-01      6.36000E-02
              nan           130.31              nan      4.24500E-01      5.09000E-02
              nan           132.01              nan      3.79900E-01      4.46000E-02
              nan           133.41              nan      5.38900E-01      4.46000E-02
              nan           134.95              nan      7.48900E-01      5.73000E-02
              nan           136.35              nan      1.06070E+00      2.55000E-02
              nan            137.9              nan      1.21970E+00      3.82000E-02
              nan           139.45              nan      1.34690E+00      3.18000E-02
              nan           141.15              nan      1.37870E+00      3.18000E-02
              nan           142.54              nan      1.49960E+00      3.18000E-02
              nan           144.24              nan      1.56950E+00      3.18000E-02
              nan           145.48              nan      1.69670E+00      3.82000E-02
              nan           147.18              nan      1.89400E+00      3.18000E-02
              nan           148.57              nan      1.93210E+00      5.73000E-02
              nan           150.12              nan      1.97660E+00      8.27000E-02
              nan           151.81              nan      1.90010E+00      8.27000E-02
              nan           153.06              nan      2.29470E+00      1.46400E-01
              nan           154.61              nan      2.55550E+00      1.52700E-01
              nan           156.15              nan      2.58090E+00      1.65500E-01
              nan           157.71              nan      2.86730E+00      2.67300E-01
              nan           159.09              nan      2.78450E+00      3.43700E-01
              nan           160.94              nan      2.47260E+00      3.43700E-01
              nan           162.03              nan      2.78440E+00      4.77300E-01
              nan           163.88              nan      2.89250E+00      5.47300E-01
              nan           165.43              nan      3.20430E+00      5.91900E-01
