# entry-subent-pointer  : O0921-007-0 
# EXFOR reaction        : ['1-H-2', ['82-PB-208,X'], 'MASS,,AKE,FF'] 
# incident energy       : 1.00e-06 MeV 
# target                : H-2 
# product               : 130.0 <= mass <= 206.0 
# level energy          : - 
# MF-MT number          : ? - residual 
# first author          : T.Enqvist 
# institute             : (2GERGSI): GSI Helmholtzzent. f. Schwerionenforschung, Darmstadt 
# reference             : (J,NP/A,703,435,2002) 
# year                  : 2002 
# facility              : (SYNCH): Synchrotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O09/O0921.x4 
# nds                   : https://nds.iaea.org/EXFOR/O0921
#
#     E_in(MeV)        dE_in(MeV)      Energy(MeV)            dEnergy(MeV)
      1.00000E-06      0.00000E+00      1.31000E+07      0.00000E+00
      1.00000E-06      0.00000E+00      1.32000E+07      0.00000E+00
      1.00000E-06      0.00000E+00      1.28000E+07      0.00000E+00
      1.00000E-06      0.00000E+00      1.26000E+07      0.00000E+00
      1.00000E-06      0.00000E+00      1.18000E+07      0.00000E+00
      1.00000E-06      0.00000E+00      1.16000E+07      0.00000E+00
      1.00000E-06      0.00000E+00      1.12000E+07      0.00000E+00
      1.00000E-06      0.00000E+00      1.08000E+07      0.00000E+00
      1.00000E-06      0.00000E+00      1.08000E+07      0.00000E+00
      1.00000E-06      0.00000E+00      1.03000E+07      0.00000E+00
      1.00000E-06      0.00000E+00      1.02000E+07      0.00000E+00
      1.00000E-06      0.00000E+00      1.00000E+07      0.00000E+00
      1.00000E-06      0.00000E+00      9.70000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      9.30000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      9.20000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      9.10000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      8.90000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      8.50000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      8.50000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      8.20000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      7.80000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      7.80000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      7.50000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      7.50000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      7.20000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      7.10000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      7.00000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      6.60000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      6.70000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      6.40000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      6.20000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      6.20000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      6.00000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      5.90000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      5.50000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      5.40000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      5.30000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      5.00000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      5.00000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      4.71000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      4.59000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      4.43000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      4.13000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      4.21000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      3.92000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      3.71000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      3.69000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      3.32000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      3.34000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      3.16000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      2.97000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      2.90000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      2.73000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      2.66000E+06      0.00000E+00
      1.00000E-06      0.00000E+00      2.44000E+06      0.00000E+00
