# entry-subent-pointer  : 13964-002-0 
# EXFOR reaction        : ['92-U-238', ['N,F'], ',PR/PAR,NU'] 
# incident energy       : 1.7000e+00 MeV - 1.8165e+02 MeV 
# target                : U-238 
# product               : - 
# level energy          : 8.0000e-01 MeV 
# MF-MT number          : 1 - None 
# first author          : T.Ethvignot 
# institute             : (2FR BRC): CEA/DAM Ile-de-France, Bruyeres-le-Chatel, Arpajon 
# reference             : (J,PRL,94,052701,2005) 
# year                  : 2005 
# facility              : (ACCEL): Accelerator 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/139/13964.x4 
# nds                   : https://nds.iaea.org/EXFOR/13964
#
#     E_in(MeV)        dE_in(MeV)       Multiplicity            dMultiplicity
      1.70000E+00      1.60000E-02      2.49000E+00      4.08000E-01
      2.03000E+00      2.10000E-02      2.79000E+00      4.57000E-01
      2.40000E+00      2.70000E-02      2.89000E+00      4.74000E-01
      2.83000E+00      3.50000E-02      2.90000E+00      4.74000E-01
      3.38000E+00      4.60000E-02      2.98000E+00      4.88000E-01
      4.02000E+00      6.00000E-02      3.02000E+00      4.93000E-01
      4.78000E+00      7.70000E-02      3.38000E+00      5.52000E-01
      5.72000E+00      1.02000E-01      3.32000E+00      5.42000E-01
      6.63000E+00      1.27000E-01      3.05000E+00      5.00000E-01
      7.53000E+00      1.54000E-01      3.36000E+00      5.50000E-01
      8.65000E+00      1.89000E-01      3.43000E+00      5.62000E-01
      1.01300E+01      2.41000E-01      3.69000E+00      6.04000E-01
      1.23100E+01      3.23000E-01      4.15000E+00      6.79000E-01
      1.50500E+01      4.38000E-01      4.30000E+00      7.03000E-01
      1.81400E+01      5.80000E-01      4.90000E+00      8.01000E-01
      2.16400E+01      7.59000E-01      5.22000E+00      8.53000E-01
      2.53700E+01      9.66000E-01      5.60000E+00      9.17000E-01
      2.94800E+01      1.21400E+00      6.01000E+00      9.83000E-01
      3.38600E+01      1.50000E+00      6.54000E+00      1.07000E+00
      3.85300E+01      1.82700E+00      6.97000E+00      1.14100E+00
      4.36400E+01      2.21100E+00      7.38000E+00      1.20600E+00
      4.92900E+01      2.66600E+00      7.91000E+00      1.29300E+00
      5.54700E+01      3.19700E+00      8.16000E+00      1.33400E+00
      6.21800E+01      3.81500E+00      8.53000E+00      1.39600E+00
      6.96300E+01      4.54700E+00      8.89000E+00      1.45500E+00
      7.81500E+01      5.44200E+00      9.26000E+00      1.51500E+00
      8.75700E+01      6.50200E+00      9.49000E+00      1.55300E+00
      9.82500E+01      7.79000E+00      1.00900E+01      1.65100E+00
      1.10310E+02      9.35200E+00      1.03500E+01      1.69300E+00
      1.24000E+02      1.12610E+01      1.08500E+01      1.77500E+00
      1.40050E+02      1.36790E+01      1.11600E+01      1.82500E+00
      1.59070E+02      1.67930E+01      1.17600E+01      1.92300E+00
      1.81650E+02      2.08340E+01      1.22700E+01      2.00600E+00
