# entry-subent-pointer  : 23119--00-3-0 
# EXFOR reaction        : ['90-TH-232', ['N,F'], 'MASS,PRE,FY'] 
# incident energy       : 5.99e+01 MeV 
# target                : Th-232 
# product               : 67.91 <= mass <= 162.1 
# level energy          : - 
# MF-MT number          : 8 - 460 
# first author          : I.V.Ryzhov 
# institute             : (2BLGLVN): Catholic University of Louvain, Louvain-la-Neuve 
# reference             : (J,PR/C,83,054603,2011) 
# year                  : 2011 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/231/23119.x4 
# nds                   : https://nds.iaea.org/EXFOR/23119
#
# Charge(No Dim.)    Mass(No Dim.)  Isomer(No Dim.)    Yield(%/fiss)   dYield(%/fiss)
              nan            67.91              nan      4.73040E-05      7.97430E-05
              nan            68.93              nan      7.12600E-05      8.65700E-05
              nan            69.94              nan      1.09970E-04      1.00800E-04
              nan            71.15              nan      1.73840E-04      1.51420E-04
              nan            71.96              nan      2.68250E-04      1.76690E-04
              nan            72.97              nan      4.13950E-04      2.03120E-04
              nan            73.99              nan      6.54370E-04      2.59870E-04
              nan            74.59              nan      9.62250E-04      3.07830E-04
              nan            75.81              nan      1.41510E-03      4.29230E-04
              nan            76.82              nan      2.08090E-03      5.59660E-04
              nan            77.83              nan      2.98720E-03      6.39660E-04
              nan            78.85              nan      4.39290E-03      7.70270E-04
              nan            79.86              nan      6.00940E-03      1.05360E-03
              nan            80.87              nan      8.42140E-03      9.55740E-04
              nan            81.88              nan      1.09780E-02      8.23010E-04
              nan             82.9              nan      1.43120E-02              NAN
              nan            83.71              nan      1.82130E-02              NAN
              nan            84.92              nan      2.20870E-02              NAN
              nan            85.74              nan      2.49170E-02              NAN
              nan            86.95              nan      2.87960E-02              NAN
              nan            87.76              nan      3.24860E-02              NAN
              nan            89.07              nan      3.44220E-02              NAN
              nan            90.28              nan      3.62050E-02              NAN
              nan            91.09              nan      3.68540E-02              NAN
              nan             91.9              nan      3.70170E-02              NAN
              nan            93.11              nan      3.63700E-02              NAN
              nan            94.13              nan      3.53980E-02              NAN
              nan            95.14              nan      3.41030E-02              NAN
              nan            95.95              nan      3.26450E-02              NAN
              nan            96.96              nan      3.11880E-02              NAN
              nan            97.78              nan      2.97300E-02              NAN
              nan            99.19              nan      2.84350E-02              NAN
              nan           100.21              nan      2.76260E-02              NAN
              nan           100.82              nan      2.71400E-02              NAN
              nan           101.83              nan      2.66550E-02              NAN
              nan           103.04              nan      2.69800E-02              NAN
              nan           104.26              nan      2.73050E-02              NAN
              nan           105.07              nan      2.77920E-02              NAN
              nan           106.08              nan      2.84410E-02              NAN
              nan           107.09              nan      2.95760E-02              NAN
              nan            107.9              nan      3.07110E-02              NAN
              nan           108.91              nan      3.20080E-02              NAN
              nan           109.92              nan      3.33050E-02              NAN
              nan           110.72              nan      3.46020E-02              NAN
              nan           111.94              nan      3.57370E-02              NAN
              nan           112.95              nan      3.67100E-02              NAN
              nan           113.76              nan      3.70350E-02              NAN
              nan           114.97              nan      3.70360E-02              NAN
              nan           115.99              nan      3.63890E-02              NAN
              nan            116.8              nan      3.54170E-02              NAN
              nan           118.01              nan      3.41220E-02              NAN
              nan           118.82              nan      3.28260E-02              NAN
              nan           120.04              nan      3.12070E-02              NAN
              nan           121.05              nan      3.00740E-02              NAN
              nan           121.87              nan      2.89400E-02              NAN
              nan           122.88              nan      2.81310E-02              NAN
              nan           124.09              nan      2.73220E-02              NAN
              nan           125.11              nan      2.69980E-02              NAN
              nan           126.12              nan      2.69990E-02              NAN
              nan           127.13              nan      2.73240E-02              NAN
              nan           127.94              nan      2.81350E-02              NAN
              nan           128.95              nan      2.91080E-02              NAN
              nan           129.76              nan      3.02430E-02              NAN
              nan           131.17              nan      3.18640E-02              NAN
              nan           131.98              nan      3.34850E-02              NAN
              nan           132.99              nan      3.51070E-02              NAN
              nan            133.8              nan      3.65660E-02              NAN
              nan           135.01              nan      3.77010E-02              NAN
              nan           136.23              nan      3.81880E-02              NAN
              nan           137.24              nan      3.78650E-02              NAN
              nan            137.9              nan      3.68140E-02              NAN
              nan           138.91              nan      3.50850E-02              NAN
              nan           139.72              nan      3.26410E-02              NAN
              nan           141.15              nan      2.96450E-02              NAN
              nan           141.76              nan      2.75800E-02              NAN
              nan           142.97              nan      2.33010E-02              NAN
              nan           143.79              nan      1.92170E-02              NAN
              nan           145.01              nan      1.54720E-02              NAN
              nan           146.02              nan      1.21600E-02              NAN
              nan           147.04              nan      9.32980E-03      1.19460E-03
              nan           147.85              nan      7.33260E-03      7.41940E-04
              nan           148.87              nan      5.23340E-03      8.14080E-04
              nan           149.89              nan      3.91970E-03      6.09630E-04
              nan            150.9              nan      2.73100E-03      4.24750E-04
              nan           151.92              nan      1.99670E-03      4.24550E-04
              nan           152.94              nan      1.32570E-03      4.44510E-04
              nan           153.96              nan      9.23660E-04      2.80340E-04
              nan           154.97              nan      6.13270E-04      2.25600E-04
              nan           155.79              nan      4.07170E-04      2.36410E-04
              nan           157.01              nan      2.70350E-04      1.56970E-04
              nan           157.82              nan      1.75220E-04      1.15410E-04
              nan           159.04              nan      1.16340E-04      8.13380E-05
              nan           160.06              nan      7.54050E-05      8.76260E-05
              nan           160.88              nan      5.12850E-05      8.64430E-05
              nan            162.1              nan      3.74970E-05      6.81780E-05
