# entry-subent-pointer  : 40058--00-2-0 
# EXFOR reaction        : ['94-PU-240', ['N,F'], ',PR,NU'] 
# incident energy       : 1.08e+00 MeV - 3.94e+00 MeV 
# target                : Pu-240 
# product               : - 
# level energy          : - 
# MF-MT number          : 1 - 456 
# first author          : M.V.Savin 
# institute             : (4RUSKUR): National Issl.Tsentr "Kurchatovskii Institut", Moskva 
# reference             : (C,70HELSINKI,2,157,197006) 
# year                  : 1970 
# facility              : (LINAC): Linear accelerator 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/400/40058.x4 
# nds                   : https://nds.iaea.org/EXFOR/40058
#
#     E_in(MeV)        dE_in(MeV)       Multiplicity            dMultiplicity
      1.08000E+00      0.00000E+00      3.13800E+00      1.56000E-01
      1.15000E+00      0.00000E+00      3.22100E+00      1.61000E-01
      1.23000E+00      0.00000E+00      3.01800E+00      1.20000E-01
      1.31000E+00      0.00000E+00      3.03800E+00      1.06000E-01
      1.39000E+00      0.00000E+00      3.03700E+00      1.06000E-01
      1.46000E+00      0.00000E+00      3.05100E+00      1.12000E-01
      1.54000E+00      0.00000E+00      3.19200E+00      1.02000E-01
      1.62000E+00      0.00000E+00      3.26000E+00      9.70000E-02
      1.71000E+00      0.00000E+00      3.17000E+00      9.50000E-02
      1.81000E+00      0.00000E+00      3.26400E+00      9.10000E-02
      1.92000E+00      0.00000E+00      3.23800E+00      9.00000E-02
      2.02000E+00      0.00000E+00      3.17500E+00      1.04000E-01
      2.15000E+00      0.00000E+00      3.15100E+00      1.04000E-01
      2.29000E+00      0.00000E+00      3.28000E+00      1.14000E-01
      2.39000E+00      0.00000E+00      3.26200E+00      1.14000E-01
      2.50000E+00      0.00000E+00      3.43500E+00      1.27000E-01
      2.62000E+00      0.00000E+00      3.36700E+00      1.34000E-01
      2.74000E+00      0.00000E+00      3.32700E+00      1.33000E-01
      2.88000E+00      0.00000E+00      3.45000E+00      1.38000E-01
      3.02000E+00      0.00000E+00      3.42300E+00      1.43000E-01
      3.18000E+00      0.00000E+00      3.48400E+00      1.56000E-01
      3.53000E+00      0.00000E+00      3.50100E+00      1.57000E-01
      3.73000E+00      0.00000E+00      3.40600E+00      1.70000E-01
      3.94000E+00      0.00000E+00      3.50700E+00      2.00000E-01
