# entry-subent-pointer  : 41116-004-0 
# EXFOR reaction        : ['95-AM-243', ['N,F'], ',PR,NU,,,EVAL'] 
# incident energy       : 5.0000e-01 MeV - 1.0500e+01 MeV 
# target                : Am-243 
# product               : - 
# level energy          : - 
# MF-MT number          : 1 - 456 
# first author          : Yu.A.Khokhlov 
# institute             : (4RUSEPA): Experimental Physics Institute , Sarov 
# reference             : ((J,YK,,(1),6,1992)=(R,INDC(CCP)-349,6,1992)) 
# year                  : 1992 
# facility              : (LINAC): Linear accelerator 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/411/41116.x4 
# nds                   : https://nds.iaea.org/EXFOR/41116
#
#     E_in(MeV)        dE_in(MeV)       Multiplicity            dMultiplicity
      5.00000E-01      0.00000E+00      3.27700E+00      0.00000E+00
      1.00000E+00      0.00000E+00      3.35400E+00      0.00000E+00
      1.50000E+00      0.00000E+00      3.43100E+00      0.00000E+00
      2.00000E+00      0.00000E+00      3.50800E+00      0.00000E+00
      2.50000E+00      0.00000E+00      3.58500E+00      0.00000E+00
      3.00000E+00      0.00000E+00      3.66200E+00      0.00000E+00
      3.50000E+00      0.00000E+00      3.73900E+00      0.00000E+00
      4.00000E+00      0.00000E+00      3.81600E+00      0.00000E+00
      4.50000E+00      0.00000E+00      3.89300E+00      0.00000E+00
      5.00000E+00      0.00000E+00      3.97000E+00      0.00000E+00
      5.50000E+00      0.00000E+00      4.04700E+00      0.00000E+00
      6.00000E+00      0.00000E+00      4.12400E+00      0.00000E+00
      6.50000E+00      0.00000E+00      4.20100E+00      0.00000E+00
      7.00000E+00      0.00000E+00      4.27800E+00      0.00000E+00
      7.50000E+00      0.00000E+00      4.35500E+00      0.00000E+00
      8.00000E+00      0.00000E+00      4.43200E+00      0.00000E+00
      8.50000E+00      0.00000E+00      4.50900E+00      0.00000E+00
      9.00000E+00      0.00000E+00      4.58600E+00      0.00000E+00
      9.50000E+00      0.00000E+00      4.66300E+00      0.00000E+00
      1.00000E+01      0.00000E+00      4.74000E+00      0.00000E+00
      1.05000E+01      0.00000E+00      4.81700E+00      0.00000E+00
