# entry-subent-pointer  : A0869--00-5-0 
# EXFOR reaction        : ['83-BI-209', ['P,X'], '0-NN-1,,DE'] 
# incident energy       : 9.09e+00 MeV 
# target                : Bi-209 
# product               : Nn-1 
# level energy          : 3.00e-01 MeV 
# MF-MT number          : 5 - residual 
# first author          : B.V.Zhuravlev 
# institute             : (4RUSFEI): Fiziko-Energeticheskii Institute , Obninsk 
# reference             : (J,YF,73,1150,2010) 
# year                  : 2010 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/A08/A0869.x4 
# nds                   : https://nds.iaea.org/EXFOR/A0869
#
#          E(MeV)          dE(MeV)      data(MB/MeV)   ddata(MB/MeV)
      3.00000E-01      0.00000E+00      1.78900E-08      1.79000E-09
      3.50000E-01      0.00000E+00      1.96200E-08      9.80000E-10
      4.00000E-01      0.00000E+00      2.03400E-08      9.30000E-10
      4.50000E-01      0.00000E+00      2.10900E-08      8.90000E-10
      5.00000E-01      0.00000E+00      2.22500E-08      9.20000E-10
      5.50000E-01      0.00000E+00      2.33700E-08      9.60000E-10
      6.00000E-01      0.00000E+00      2.36400E-08      9.70000E-10
      6.50000E-01      0.00000E+00      2.39100E-08      9.80000E-10
      7.00000E-01      0.00000E+00      2.41700E-08      9.90000E-10
      7.50000E-01      0.00000E+00      2.44000E-08      1.00000E-09
      8.00000E-01      0.00000E+00      2.39900E-08      9.80000E-10
      8.50000E-01      0.00000E+00      2.35900E-08      9.70000E-10
      9.00000E-01      0.00000E+00      2.34100E-08      9.60000E-10
      9.50000E-01      0.00000E+00      2.32300E-08      9.50000E-10
      1.00000E+00      0.00000E+00      2.28100E-08      9.40000E-10
      1.05000E+00      0.00000E+00      2.23900E-08      9.20000E-10
      1.10000E+00      0.00000E+00      2.18900E-08      9.00000E-10
      1.15000E+00      0.00000E+00      2.13900E-08      8.80000E-10
      1.20000E+00      0.00000E+00      2.12600E-08      8.70000E-10
      1.25000E+00      0.00000E+00      2.11400E-08      8.70000E-10
      1.30000E+00      0.00000E+00      2.10700E-08      8.60000E-10
