# entry-subent-pointer  : 10923--00-3-0 
# EXFOR reaction        : ['100-FM-258', ['0,F'], 'MASS,SEC,FY'] 
# incident energy       : 0.00e+00 MeV 
# target                : Fm-258 
# product               : 88.611 <= mass <= 170.019 
# level energy          : - 
# MF-MT number          : 8 - 454 
# first author          : D.C.Hoffman 
# institute             : (1USALAS): Los Alamos National Laboratory, NM 
# reference             : (J,PR/C,21,972,1980) 
# year                  : 1980 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/109/10923.x4 
# nds                   : https://nds.iaea.org/EXFOR/10923
#
# Charge(No Dim.)    Mass(No Dim.)  Isomer(No Dim.)    Yield(%/fiss)   dYield(%/fiss)
              nan           88.611              nan      1.57000E-03              NAN
              nan           92.204              nan      6.10000E-04              NAN
              nan           94.702              nan     -1.61000E-03              NAN
              nan           97.834              nan      7.24000E-03              NAN
              nan          101.261              nan     -5.75000E-03              NAN
              nan          103.921              nan     -1.33000E-03              NAN
              nan          106.739              nan      6.26000E-03              NAN
              nan          109.866              nan      8.46000E-03              NAN
              nan          112.829              nan      1.49000E-03              NAN
              nan          115.661              nan      2.55300E-02              NAN
              nan          118.778              nan      1.60300E-02              NAN
              nan          121.912              nan      2.80500E-02              NAN
              nan          124.915              nan      7.13900E-02              NAN
              nan          127.936              nan      1.37520E-01              NAN
              nan           131.08              nan      1.62190E-01              NAN
              nan          133.648              nan      4.92100E-02              NAN
              nan          136.762              nan      3.52800E-02              NAN
              nan          139.867              nan      1.02700E-02              NAN
              nan          142.837              nan      1.08900E-02              NAN
              nan          145.802              nan      6.45000E-03              NAN
              nan          148.781              nan      1.97300E-02              NAN
              nan          151.746              nan      1.56100E-02              NAN
              nan          154.876              nan      2.16100E-02              NAN
              nan          157.988              nan      4.51000E-03              NAN
              nan          160.803              nan      7.67000E-03              NAN
              nan          163.926              nan      5.13000E-03              NAN
              nan          166.893              nan      3.22000E-03              NAN
              nan          170.019              nan      4.47000E-03              NAN
