# entry-subent-pointer  : 14215--00-5-0 
# EXFOR reaction        : ['93-NP-237', ['N,F'], ',PR,NU'] 
# incident energy       : 1.77e+00 MeV - 1.90e+02 MeV 
# target                : Np-237 
# product               : - 
# level energy          : - 
# MF-MT number          : 1 - 456 
# first author          : J.Taieb 
# institute             : (1USALAS): Los Alamos National Laboratory, NM 
# reference             : (C,2007NICE,1,429,2007) 
# year                  : 2007 
# facility              : (LINAC): Linear accelerator 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/142/14215.x4 
# nds                   : https://nds.iaea.org/EXFOR/14215
#
#     E_in(MeV)        dE_in(MeV)       Multiplicity            dMultiplicity
      1.77000E+00      0.00000E+00      2.81000E+00      8.00000E-02
      2.50000E+00      0.00000E+00      3.14000E+00      9.00000E-02
      3.50000E+00      0.00000E+00      3.28000E+00      9.00000E-02
      4.50000E+00      0.00000E+00      3.42000E+00      1.00000E-01
      5.50000E+00      0.00000E+00      3.61000E+00      1.10000E-01
      6.50000E+00      0.00000E+00      3.68000E+00      1.10000E-01
      7.50000E+00      0.00000E+00      3.62000E+00      1.20000E-01
      8.50000E+00      0.00000E+00      3.82000E+00      1.20000E-01
      9.50000E+00      0.00000E+00      4.00000E+00      1.30000E-01
      1.10000E+01      0.00000E+00      4.58000E+00      1.30000E-01
      1.30000E+01      0.00000E+00      4.72000E+00      1.30000E-01
      1.50000E+01      0.00000E+00      4.97000E+00      1.60000E-01
      1.70000E+01      0.00000E+00      5.22000E+00      1.70000E-01
      1.90000E+01      0.00000E+00      4.98000E+00      1.60000E-01
      2.16900E+01      0.00000E+00      5.42000E+00      1.80000E-01
      2.45600E+01      0.00000E+00      5.54000E+00      1.60000E-01
      2.75000E+01      0.00000E+00      5.76000E+00      1.80000E-01
      3.06300E+01      0.00000E+00      6.21000E+00      2.10000E-01
      3.36700E+01      0.00000E+00      6.38000E+00      1.80000E-01
      3.77200E+01      0.00000E+00      6.72000E+00      2.00000E-01
      4.27900E+01      0.00000E+00      6.96000E+00      1.80000E-01
      4.76800E+01      0.00000E+00      7.32000E+00      1.80000E-01
      5.27500E+01      0.00000E+00      7.45000E+00      2.10000E-01
      5.78100E+01      0.00000E+00      7.99000E+00      2.40000E-01
      6.50000E+01      0.00000E+00      8.33000E+00      2.40000E-01
      7.50000E+01      0.00000E+00      8.65000E+00      3.00000E-01
      8.50000E+01      0.00000E+00      9.20000E+00      2.80000E-01
      9.50000E+01      0.00000E+00      9.23000E+00      3.10000E-01
      1.10000E+02      0.00000E+00      9.77000E+00      2.80000E-01
      1.30000E+02      0.00000E+00      1.01900E+01      2.80000E-01
      1.50000E+02      0.00000E+00      1.10600E+01      3.20000E-01
      1.70000E+02      0.00000E+00      1.12800E+01      3.20000E-01
      1.90000E+02      0.00000E+00      1.15600E+01      3.20000E-01
