# entry-subent-pointer  : 40342--00-2-0 
# EXFOR reaction        : ['92-U-238', ['N,F'], ',PR,NU,,,DERIV'] 
# incident energy       : 1.30e+00 MeV - 5.30e+00 MeV 
# target                : U-238 
# product               : - 
# level energy          : - 
# MF-MT number          : 1 - 456 
# first author          : V.G.Vorob'Eva 
# institute             : (4RUSFEI): Fiziko-Energeticheskii Institute , Obninsk 
# reference             : ((R,YK-15,3,1974)=(R,INDC(CCP)-57,3,1974)) 
# year                  : 1974 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/403/40342.x4 
# nds                   : https://nds.iaea.org/EXFOR/40342
#
#     E_in(MeV)        dE_in(MeV)       Multiplicity            dMultiplicity
      1.30000E+00      5.00000E-02      2.57100E+00      3.50000E-02
      1.40000E+00      5.00000E-02      2.58200E+00      3.50000E-02
      1.50000E+00      5.00000E-02      2.58700E+00      2.50000E-02
      1.90000E+00      5.00000E-02      2.63600E+00      2.50000E-02
      2.22000E+00      5.00000E-02      2.66700E+00      2.50000E-02
      2.31000E+00      3.00000E-02      2.68400E+00      2.50000E-02
      2.43000E+00      3.00000E-02      2.70200E+00      2.50000E-02
      2.72000E+00      3.00000E-02      2.73400E+00      3.00000E-02
      2.90000E+00      5.00000E-02      2.76600E+00      3.00000E-02
      3.35000E+00      5.00000E-02      2.81100E+00      3.00000E-02
      3.85000E+00      1.10000E-01      2.88500E+00      2.50000E-02
      5.30000E+00      1.10000E-01      3.07800E+00      2.50000E-02
