# entry-subent-pointer  : 20490--00-3-0 
# EXFOR reaction        : ['94-PU-239', ['N,F'], ',PR,NU'] 
# incident energy       : 1.36e+00 MeV - 1.48e+01 MeV 
# target                : Pu-239 
# product               : - 
# level energy          : - 
# MF-MT number          : 1 - 456 
# first author          : J.Frehaut 
# institute             : (2FR BRC): CEA/DAM Ile-de-France, Bruyeres-le-Chatel, Arpajon 
# reference             : (W,FREHAUT,8009) 
# year                  : 1980 
# facility              : (VDGT ): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/204/20490.x4 
# nds                   : https://nds.iaea.org/EXFOR/20490
#
#     E_in(MeV)        dE_in(MeV)       Multiplicity            dMultiplicity
      1.36000E+00      1.65000E-01      3.02600E+00              NAN
      1.37000E+00      1.50000E-01      3.10600E+00              NAN
      2.33000E+00      1.00000E-01      3.14100E+00              NAN
      2.45000E+00      1.25000E-01      3.17500E+00              NAN
      2.98000E+00      1.05000E-01      3.26400E+00              NAN
      3.50000E+00      1.00000E-01      3.32400E+00              NAN
      3.93000E+00      7.50000E-02      3.38300E+00              NAN
      4.03000E+00      9.00000E-02      3.41900E+00              NAN
      4.43000E+00      9.00000E-02      3.45300E+00              NAN
      4.54000E+00      8.00000E-02      3.51300E+00              NAN
      4.94000E+00      8.50000E-02      3.53600E+00              NAN
      5.06000E+00      7.00000E-02      3.57900E+00              NAN
      5.57000E+00      7.00000E-02      3.63800E+00              NAN
      5.98000E+00      7.50000E-02      3.68800E+00              NAN
      6.08000E+00      6.50000E-02      3.74100E+00              NAN
      6.97000E+00      1.70000E-01      3.88600E+00              NAN
      7.09000E+00      6.50000E-02      3.91900E+00              NAN
      7.48000E+00      1.65000E-01      3.94700E+00              NAN
      7.99000E+00      1.45000E-01      4.03800E+00              NAN
      8.49000E+00      1.30000E-01      4.12400E+00              NAN
      9.00000E+00      1.20000E-01      4.19700E+00              NAN
      9.49000E+00      1.10000E-01      4.27100E+00              NAN
      9.74000E+00      1.10000E-01      4.28100E+00              NAN
      9.98000E+00      1.00000E-01      4.36800E+00              NAN
      1.04700E+01      9.50000E-02      4.40900E+00              NAN
      1.09600E+01      9.00000E-02      4.48800E+00              NAN
      1.14400E+01      8.50000E-02      4.56600E+00              NAN
      1.19300E+01      8.00000E-02      4.62900E+00              NAN
      1.24100E+01      8.00000E-02      4.64300E+00              NAN
      1.28800E+01      8.00000E-02      4.75000E+00              NAN
      1.33600E+01      7.50000E-02      4.80400E+00              NAN
      1.38400E+01      7.50000E-02      4.88400E+00              NAN
      1.43100E+01      7.00000E-02      4.94200E+00              NAN
      1.47900E+01      7.00000E-02      4.99300E+00              NAN
