# entry-subent-pointer  : 41010--00-2-0 
# EXFOR reaction        : ['92-U-235', ['N,F'], '0-NN-1,DL/GRP,KE'] 
# incident energy       : 2.53e-08 MeV 
# target                : U-235 
# product               : Nn-1 
# level energy          : - 
# MF-MT number          : ? - DNgroup 
# first author          : B.P.Maksyutenko 
# institute             : (4RUSFEI): Fiziko-Energeticheskii Institute , Obninsk 
# reference             : (J,AE,64,(6),428,198806) 
# year                  : 1988 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/410/41010.x4 
# nds                   : https://nds.iaea.org/EXFOR/41010
#
#     E_in(MeV)        dE_in(MeV)      Energy(MeV)            dEnergy(MeV)
      2.53000E-08      0.00000E+00      3.30400E+05              NAN
      2.53000E-08      0.00000E+00      3.29000E+05              NAN
      2.53000E-08      0.00000E+00      3.29000E+05              NAN
      2.53000E-08      0.00000E+00      3.28600E+05              NAN
      2.53000E-08      0.00000E+00      3.35400E+05              NAN
      2.53000E-08      0.00000E+00      3.34600E+05              NAN
      2.53000E-08      0.00000E+00      3.35000E+05              NAN
      2.53000E-08      0.00000E+00      3.33000E+05              NAN
      2.53000E-08      0.00000E+00      3.32000E+05              NAN
      2.53000E-08      0.00000E+00      3.37700E+05              NAN
      2.53000E-08      0.00000E+00      3.32000E+05              NAN
      2.53000E-08      0.00000E+00      3.30300E+05              NAN
      2.53000E-08      0.00000E+00      3.30100E+05              NAN
      2.53000E-08      0.00000E+00      3.30400E+05              NAN
      2.53000E-08      0.00000E+00      3.29000E+05              NAN
      2.53000E-08      0.00000E+00      3.37200E+05              NAN
      2.53000E-08      0.00000E+00      3.37800E+05              NAN
      2.53000E-08      0.00000E+00      3.36800E+05              NAN
      2.53000E-08      0.00000E+00      3.36500E+05              NAN
      2.53000E-08      0.00000E+00      3.27000E+05              NAN
      2.53000E-08      0.00000E+00      3.33500E+05              NAN
      2.53000E-08      0.00000E+00      3.30900E+05              NAN
      2.53000E-08      0.00000E+00      3.26600E+05              NAN
      2.53000E-08      0.00000E+00      3.24200E+05              NAN
      2.53000E-08      0.00000E+00      3.18000E+05              NAN
      2.53000E-08      0.00000E+00      3.06500E+05              NAN
      2.53000E-08      0.00000E+00      3.05000E+05              NAN
      2.53000E-08      0.00000E+00      2.99800E+05              NAN
      2.53000E-08      0.00000E+00      2.93600E+05              NAN
      2.53000E-08      0.00000E+00      2.92600E+05              NAN
      2.53000E-08      0.00000E+00      2.79400E+05              NAN
      2.53000E-08      0.00000E+00      2.77900E+05              NAN
      2.53000E-08      0.00000E+00      2.74600E+05              NAN
      2.53000E-08      0.00000E+00      2.58100E+05              NAN
      2.53000E-08      0.00000E+00      2.54600E+05              NAN
      2.53000E-08      0.00000E+00      2.38000E+05              NAN
      2.53000E-08      0.00000E+00      2.38500E+05              NAN
      2.53000E-08      0.00000E+00      2.45900E+05              NAN
      2.53000E-08      0.00000E+00      2.28800E+05              NAN
      2.53000E-08      0.00000E+00      2.18000E+05              NAN
      2.53000E-08      0.00000E+00      2.07400E+05              NAN
      2.53000E-08      0.00000E+00      2.15400E+05              NAN
      2.53000E-08      0.00000E+00      2.14500E+05              NAN
      2.53000E-08      0.00000E+00      1.93700E+05              NAN
      2.53000E-08      0.00000E+00      2.10500E+05              NAN
      2.53000E-08      0.00000E+00      1.90300E+05              NAN
      2.53000E-08      0.00000E+00      1.86500E+05              NAN
      2.53000E-08      0.00000E+00      2.13700E+05              NAN
