# entry-subent-pointer  : 40660-002-0 
# EXFOR reaction        : ['92-U-236', ['N,F'], ',PR,NU'] 
# incident energy       : 8.0000e-01 MeV - 5.9000e+00 MeV 
# target                : U-236 
# product               : - 
# level energy          : - 
# MF-MT number          : 1 - 456 
# first author          : V.V.Malinovsky 
# institute             : (4RUSFEI): Fiziko-Energeticheskii Institute , Obninsk 
# reference             : (J,AE,53,(2),83,1982) 
# year                  : 1982 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/406/40660.x4 
# nds                   : https://nds.iaea.org/EXFOR/40660
#
#     E_in(MeV)        dE_in(MeV)       Multiplicity            dMultiplicity
      8.00000E-01      0.00000E+00      2.45100E+00      3.40000E-02
      8.50000E-01      0.00000E+00      2.44600E+00      3.30000E-02
      9.00000E-01      0.00000E+00      2.43400E+00      3.40000E-02
      9.50000E-01      0.00000E+00      2.43000E+00      3.50000E-02
      1.00000E+00      0.00000E+00      2.46500E+00      3.80000E-02
      1.10000E+00      0.00000E+00      2.47200E+00      2.90000E-02
      1.20000E+00      0.00000E+00      2.50100E+00      2.50000E-02
      1.30000E+00      0.00000E+00      2.46900E+00      3.50000E-02
      1.35000E+00      0.00000E+00      2.47600E+00      3.60000E-02
      1.40000E+00      0.00000E+00      2.48000E+00      2.40000E-02
      1.50000E+00      0.00000E+00      2.51400E+00      3.00000E-02
      1.60000E+00      0.00000E+00      2.51500E+00      2.50000E-02
      1.70000E+00      0.00000E+00      2.51800E+00      3.00000E-02
      1.80000E+00      0.00000E+00      2.55600E+00      3.20000E-02
      1.90000E+00      0.00000E+00      2.54900E+00      2.10000E-02
      2.00000E+00      0.00000E+00      2.54500E+00      3.90000E-02
      2.10000E+00      0.00000E+00      2.57500E+00      3.70000E-02
      2.20000E+00      0.00000E+00      2.55800E+00      3.00000E-02
      2.25000E+00      0.00000E+00      2.61100E+00      2.40000E-02
      2.30000E+00      0.00000E+00      2.60400E+00      2.30000E-02
      2.40000E+00      0.00000E+00      2.58800E+00      2.30000E-02
      2.50000E+00      0.00000E+00      2.62600E+00      3.40000E-02
      2.60000E+00      0.00000E+00      2.68400E+00      3.40000E-02
      2.70000E+00      0.00000E+00      2.66700E+00      2.90000E-02
      2.80000E+00      0.00000E+00      2.66900E+00      3.70000E-02
      2.90000E+00      0.00000E+00      2.67800E+00      3.00000E-02
      3.00000E+00      0.00000E+00      2.69000E+00      2.30000E-02
      3.10000E+00      0.00000E+00      2.70400E+00      3.00000E-02
      3.20000E+00      0.00000E+00      2.72700E+00      2.50000E-02
      3.30000E+00      0.00000E+00      2.73200E+00      2.90000E-02
      3.40000E+00      0.00000E+00      2.78000E+00      2.90000E-02
      3.50000E+00      0.00000E+00      2.77200E+00      2.30000E-02
      3.60000E+00      0.00000E+00      2.77500E+00      2.90000E-02
      3.70000E+00      0.00000E+00      2.81900E+00      2.60000E-02
      5.05000E+00      0.00000E+00      3.00700E+00      3.00000E-02
      5.60000E+00      0.00000E+00      3.16700E+00      3.40000E-02
      5.90000E+00      0.00000E+00      3.15400E+00      4.60000E-02
