# entry-subent-pointer  : 40342-003-0 
# EXFOR reaction        : ['94-PU-240', ['N,F'], ',PR,NU,,,DERIV'] 
# incident energy       : 8.5000e-01 MeV - 4.9000e+00 MeV 
# target                : Pu-240 
# product               : - 
# level energy          : - 
# MF-MT number          : 1 - 456 
# first author          : V.G.Vorob'Eva 
# institute             : (4RUSFEI): Fiziko-Energeticheskii Institute , Obninsk 
# reference             : ((R,YK-15,3,1974)=(R,INDC(CCP)-57,3,1974)) 
# year                  : 1974 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/403/40342.x4 
# nds                   : https://nds.iaea.org/EXFOR/40342
#
#     E_in(MeV)        dE_in(MeV)       Multiplicity            dMultiplicity
      8.50000E-01      5.00000E-02      3.02800E+00      1.70000E-02
      1.03000E+00      7.00000E-02      3.01700E+00      1.70000E-02
      1.23000E+00      7.00000E-02      3.00000E+00      1.70000E-02
      1.33000E+00      7.00000E-02      3.04000E+00      1.70000E-02
      1.44000E+00      6.00000E-02      3.06600E+00      1.70000E-02
      1.54000E+00      6.00000E-02      3.07500E+00      1.70000E-02
      1.59000E+00      6.00000E-02      3.07900E+00      1.70000E-02
      1.64000E+00      6.00000E-02      3.10000E+00      1.70000E-02
      1.69000E+00      6.00000E-02      3.08900E+00      1.70000E-02
      1.74000E+00      6.00000E-02      3.08900E+00      1.70000E-02
      1.80000E+00      5.00000E-02      3.08900E+00      1.70000E-02
      1.85000E+00      5.00000E-02      3.10300E+00      1.70000E-02
      1.94000E+00      6.00000E-02      3.10700E+00      1.70000E-02
      2.15000E+00      5.00000E-02      3.13000E+00      1.70000E-02
      2.35000E+00      5.00000E-02      3.22400E+00      2.20000E-02
      2.55000E+00      5.00000E-02      3.23600E+00      2.20000E-02
      2.75000E+00      5.00000E-02      3.25500E+00      2.20000E-02
      2.80000E+00      5.00000E-02      3.26900E+00      2.20000E-02
      2.95000E+00      5.00000E-02      3.27200E+00      2.20000E-02
      3.15000E+00      5.00000E-02      3.37100E+00      3.00000E-02
      3.30000E+00      1.00000E-01      3.42800E+00      3.00000E-02
      4.90000E+00      1.00000E-01      3.59500E+00      3.00000E-02
