# entry-subent-pointer  : 22799--00-3-0 
# EXFOR reaction        : ['92-U-238', ['N,F'], 'MASS,PRE,FY'] 
# incident energy       : 1.00e+01 MeV 
# target                : U-238 
# product               : 72.0 <= mass <= 166.0 
# level energy          : - 
# MF-MT number          : 8 - 460 
# first author          : C.M.Zoeller 
# institute             : (2GERJUL): Forschungszentrum Juelich 
# reference             : (T,ZOELLER,1995) 
# year                  : 1995 
# facility              : (LINAC): Linear accelerator 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/227/22799.x4 
# nds                   : https://nds.iaea.org/EXFOR/22799
#
# Charge(No Dim.)    Mass(No Dim.)  Isomer(No Dim.)    Yield(%/fiss)   dYield(%/fiss)
              nan             72.0              nan      1.00000E-04      3.00000E-05
              nan             74.0              nan      3.00000E-04      6.00000E-05
              nan             76.0              nan      5.00000E-04      8.00000E-05
              nan             78.0              nan      6.00000E-04      9.00000E-05
              nan             80.0              nan      1.30000E-03      1.30000E-04
              nan             82.0              nan      2.40000E-03      1.80000E-04
              nan             84.0              nan      4.80000E-03      2.50000E-04
              nan             86.0              nan      8.10000E-03      3.30000E-04
              nan             88.0              nan      1.32000E-02      4.20000E-04
              nan             90.0              nan      1.94000E-02      5.10000E-04
              nan             92.0              nan      2.72000E-02      6.10000E-04
              nan             94.0              nan      3.77000E-02      7.20000E-04
              nan             96.0              nan      4.50000E-02      7.80000E-04
              nan             98.0              nan      5.04000E-02      8.30000E-04
              nan            100.0              nan      5.50000E-02      8.60000E-04
              nan            102.0              nan      5.27000E-02      8.50000E-04
              nan            104.0              nan      4.97000E-02      8.20000E-04
              nan            106.0              nan      4.25000E-02      7.60000E-04
              nan            108.0              nan      3.18000E-02      6.60000E-04
              nan            110.0              nan      2.14000E-02      5.40000E-04
              nan            112.0              nan      1.43000E-02      4.40000E-04
              nan            114.0              nan      9.20000E-03      3.50000E-04
              nan            116.0              nan      7.10000E-03      3.10000E-04
              nan            118.0              nan      4.80000E-03      2.60000E-04
              nan            120.0              nan      5.10000E-03      2.60000E-04
              nan            122.0              nan      6.40000E-03      3.00000E-04
              nan            124.0              nan      8.40000E-03      3.40000E-04
              nan            126.0              nan      1.26000E-02      4.10000E-04
              nan            128.0              nan      1.93000E-02      5.10000E-04
              nan            130.0              nan      2.97000E-02      6.40000E-04
              nan            132.0              nan      4.06000E-02      7.40000E-04
              nan            134.0              nan      4.72000E-02      8.00000E-04
              nan            136.0              nan      5.26000E-02      8.50000E-04
              nan            138.0              nan      5.49000E-02      8.60000E-04
              nan            140.0              nan      5.09000E-02      8.30000E-04
              nan            142.0              nan      4.77000E-02      8.10000E-04
              nan            144.0              nan      3.93000E-02      7.30000E-04
              nan            146.0              nan      2.94000E-02      6.30000E-04
              nan            148.0              nan      2.12000E-02      5.40000E-04
              nan            150.0              nan      1.49000E-02      4.50000E-04
              nan            152.0              nan      9.20000E-03      3.50000E-04
              nan            154.0              nan      5.50000E-03      2.70000E-04
              nan            156.0              nan      2.90000E-03      2.00000E-04
              nan            158.0              nan      1.30000E-03      1.30000E-04
              nan            160.0              nan      8.00000E-04      1.10000E-04
              nan            162.0              nan      5.00000E-04      8.00000E-05
              nan            164.0              nan      3.00000E-04      7.00000E-05
              nan            166.0              nan      1.00000E-04      4.00000E-05
