# entry-subent-pointer  : 40173--01-0-0 
# EXFOR reaction        : ['90-TH-232', ['N,F'], 'MASS,,AKE,FF'] 
# incident energy       : 2.00e+00 MeV 
# target                : Th-232 
# product               : 74.0 <= mass <= 115.0 
# level energy          : - 
# MF-MT number          : ? - 18 
# first author          : A.I.Sergachev 
# institute             : (4RUSFEI): Fiziko-Energeticheskii Institute , Obninsk 
# reference             : (J,YF,7,(4),778,196804) 
# year                  : 1968 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/401/40173.x4 
# nds                   : https://nds.iaea.org/EXFOR/40173
#
#     E_in(MeV)        dE_in(MeV)      Energy(MeV)            dEnergy(MeV)
      2.00000E+00      0.00000E+00      1.43540E+08              NAN
      2.00000E+00      0.00000E+00      1.44430E+08              NAN
      2.00000E+00      0.00000E+00      1.45530E+08              NAN
      2.00000E+00      0.00000E+00      1.46130E+08              NAN
      2.00000E+00      0.00000E+00      1.46840E+08              NAN
      2.00000E+00      0.00000E+00      1.48700E+08              NAN
      2.00000E+00      0.00000E+00      1.50220E+08              NAN
      2.00000E+00      0.00000E+00      1.51520E+08              NAN
      2.00000E+00      0.00000E+00      1.52400E+08              NAN
      2.00000E+00      0.00000E+00      1.53460E+08              NAN
      2.00000E+00      0.00000E+00      1.54750E+08              NAN
      2.00000E+00      0.00000E+00      1.55780E+08              NAN
      2.00000E+00      0.00000E+00      1.56920E+08              NAN
      2.00000E+00      0.00000E+00      1.57860E+08              NAN
      2.00000E+00      0.00000E+00      1.58790E+08              NAN
      2.00000E+00      0.00000E+00      1.59550E+08              NAN
      2.00000E+00      0.00000E+00      1.60370E+08              NAN
      2.00000E+00      0.00000E+00      1.61260E+08              NAN
      2.00000E+00      0.00000E+00      1.62170E+08              NAN
      2.00000E+00      0.00000E+00      1.62910E+08              NAN
      2.00000E+00      0.00000E+00      1.63630E+08              NAN
      2.00000E+00      0.00000E+00      1.64730E+08              NAN
      2.00000E+00      0.00000E+00      1.65810E+08              NAN
      2.00000E+00      0.00000E+00      1.66880E+08              NAN
      2.00000E+00      0.00000E+00      1.67820E+08              NAN
      2.00000E+00      0.00000E+00      1.68590E+08              NAN
      2.00000E+00      0.00000E+00      1.69190E+08              NAN
      2.00000E+00      0.00000E+00      1.69860E+08              NAN
      2.00000E+00      0.00000E+00      1.70100E+08              NAN
      2.00000E+00      0.00000E+00      1.69700E+08              NAN
      2.00000E+00      0.00000E+00      1.68500E+08              NAN
      2.00000E+00      0.00000E+00      1.66810E+08              NAN
      2.00000E+00      0.00000E+00      1.64580E+08              NAN
      2.00000E+00      0.00000E+00      1.63300E+08              NAN
      2.00000E+00      0.00000E+00      1.61790E+08              NAN
      2.00000E+00      0.00000E+00      1.59280E+08              NAN
      2.00000E+00      0.00000E+00      1.60650E+08              NAN
      2.00000E+00      0.00000E+00      1.59040E+08              NAN
      2.00000E+00      0.00000E+00      1.55230E+08              NAN
      2.00000E+00      0.00000E+00      1.55720E+08              NAN
      2.00000E+00      0.00000E+00      1.49160E+08              NAN
      2.00000E+00      0.00000E+00      1.41880E+08              NAN
