# entry-subent-pointer  : 40173-008-0 
# EXFOR reaction        : ['90-TH-232', ['N,F'], 'MASS,,AKE,FF'] 
# incident energy       : 1.60e+00 MeV 
# target                : Th-232 
# product               : 74.0 <= mass <= 115.0 
# level energy          : - 
# MF-MT number          : ? - 18 
# first author          : A.I.Sergachev 
# institute             : (4RUSFEI): Fiziko-Energeticheskii Institute , Obninsk 
# reference             : (J,YF,7,(4),778,196804) 
# year                  : 1968 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/401/40173.x4 
# nds                   : https://nds.iaea.org/EXFOR/40173
#
#     E_in(MeV)        dE_in(MeV)      Energy(MeV)            dEnergy(MeV)
      1.60000E+00      0.00000E+00      1.46120E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.48360E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.47150E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.47170E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.47380E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.48200E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.49610E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.50990E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.52000E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.53020E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.54060E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.55100E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.56390E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.57440E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.58390E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.59060E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.59600E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.60190E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.61020E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.61800E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.62580E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.63340E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.64270E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.65380E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.66340E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.66980E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.67430E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.67780E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.67780E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.66880E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.66000E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.64600E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.63880E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.63190E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.61510E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.57190E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.57370E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.59150E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.58240E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.51990E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.45410E+08      0.00000E+00
      1.60000E+00      0.00000E+00      1.43720E+08      0.00000E+00
