# entry-subent-pointer  : 10901-007-0 
# EXFOR reaction        : ['98-CF-254', ['0,F'], ',PR/NUM,NU'] 
# incident energy       : 0.00e+00 MeV 
# target                : Cf-254 
# product               : - 
# level energy          : - 
# MF-MT number          : 1 - Miscellaneous 
# first author          : D.C.Hoffman 
# institute             : (1USALAS): Los Alamos National Laboratory, NM 
# reference             : (J,PR/C,21,637,1980) 
# year                  : 1980 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/109/10901.x4 
# nds                   : https://nds.iaea.org/EXFOR/10901
#
#     E_in(MeV)        dE_in(MeV)       Multiplicity            dMultiplicity
      0.00000E+00      0.00000E+00      1.00000E-03      0.00000E+00
      0.00000E+00      0.00000E+00      1.70000E-02      0.00000E+00
      0.00000E+00      0.00000E+00      1.06000E-01      0.00000E+00
      0.00000E+00      0.00000E+00      2.57000E-01      0.00000E+00
      0.00000E+00      0.00000E+00      3.21000E-01      0.00000E+00
      0.00000E+00      0.00000E+00      1.99000E-01      0.00000E+00
      0.00000E+00      0.00000E+00      7.90000E-02      0.00000E+00
      0.00000E+00      0.00000E+00      1.70000E-02      0.00000E+00
      0.00000E+00      0.00000E+00      4.00000E-03      0.00000E+00
      0.00000E+00      0.00000E+00      2.00000E-03      0.00000E+00
