# entry-subent-pointer  : 40158--00-6-0 
# EXFOR reaction        : ['92-U-235', ['N,F'], ',,NU'] 
# incident energy       : 8.00e-02 MeV - 9.90e-01 MeV 
# target                : U-235 
# product               : - 
# level energy          : - 
# MF-MT number          : 1 - 452 
# first author          : Yu.A.Blyumkina 
# institute             : (4RUSFEI): Fiziko-Energeticheskii Institute , Obninsk 
# reference             : (J,NP,52,648,1964) 
# year                  : 1964 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/401/40158.x4 
# nds                   : https://nds.iaea.org/EXFOR/40158
#
#     E_in(MeV)        dE_in(MeV)       Multiplicity            dMultiplicity
      8.00000E-02      0.00000E+00      2.45600E+00      2.20000E-02
      8.00000E-02      0.00000E+00      2.43900E+00      2.40000E-02
      2.00000E-01      0.00000E+00      2.52300E+00      2.50000E-02
      3.00000E-01      0.00000E+00      2.51100E+00      2.30000E-02
      3.10000E-01      0.00000E+00      2.48300E+00      2.20000E-02
      4.00000E-01      0.00000E+00      2.49100E+00      1.70000E-02
      5.00000E-01      0.00000E+00      2.48600E+00      2.20000E-02
      5.50000E-01      0.00000E+00      2.44100E+00      2.20000E-02
      6.00000E-01      0.00000E+00      2.47800E+00      2.10000E-02
      6.70000E-01      0.00000E+00      2.47100E+00      2.20000E-02
      7.00000E-01      0.00000E+00      2.47600E+00      2.20000E-02
      7.80000E-01      0.00000E+00      2.47100E+00      2.50000E-02
      9.90000E-01      0.00000E+00      2.50300E+00      2.90000E-02
