# entry-subent-pointer  : 40058-004-0 
# EXFOR reaction        : ['92-U-235', ['N,F'], ',PR,NU'] 
# incident energy       : 6.50e-01 MeV - 6.60e+00 MeV 
# target                : U-235 
# product               : - 
# level energy          : - 
# MF-MT number          : 1 - 456 
# first author          : M.V.Savin 
# institute             : (4RUSKUR): National Issl.Tsentr "Kurchatovskii Institut", Moskva 
# reference             : (C,70HELSINKI,2,157,197006) 
# year                  : 1970 
# facility              : (LINAC): Linear accelerator 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/400/40058.x4 
# nds                   : https://nds.iaea.org/EXFOR/40058
#
#     E_in(MeV)        dE_in(MeV)       Multiplicity            dMultiplicity
      6.50000E-01      0.00000E+00      2.43200E+00      3.90000E-02
      6.80000E-01      0.00000E+00      2.44700E+00      3.90000E-02
      7.10000E-01      0.00000E+00      2.47200E+00      3.90000E-02
      7.30000E-01      0.00000E+00      2.47300E+00      3.90000E-02
      7.90000E-01      0.00000E+00      2.47800E+00      3.90000E-02
      8.20000E-01      0.00000E+00      2.49100E+00      4.00000E-02
      8.70000E-01      0.00000E+00      2.47400E+00      3.90000E-02
      9.10000E-01      0.00000E+00      2.49900E+00      4.00000E-02
      9.70000E-01      0.00000E+00      2.48400E+00      3.90000E-02
      1.01000E+00      0.00000E+00      2.49100E+00      3.90000E-02
      1.06000E+00      0.00000E+00      2.53900E+00      3.80000E-02
      1.15000E+00      0.00000E+00      2.57500E+00      3.80000E-02
      1.25000E+00      0.00000E+00      2.57800E+00      3.80000E-02
      1.35000E+00      0.00000E+00      2.61300E+00      3.90000E-02
      1.41000E+00      0.00000E+00      2.61800E+00      3.90000E-02
      1.48000E+00      0.00000E+00      2.63600E+00      3.90000E-02
      1.63000E+00      0.00000E+00      2.64100E+00      3.90000E-02
      1.80000E+00      0.00000E+00      2.64100E+00      3.90000E-02
      1.97000E+00      0.00000E+00      2.64500E+00      3.90000E-02
      2.05000E+00      0.00000E+00      2.66100E+00      4.00000E-02
      2.18000E+00      0.00000E+00      2.70000E+00      3.30000E-02
      2.26000E+00      0.00000E+00      2.71300E+00      3.50000E-02
      2.39000E+00      0.00000E+00      2.74800E+00      3.50000E-02
      2.55000E+00      0.00000E+00      2.71100E+00      3.50000E-02
      2.68000E+00      0.00000E+00      2.76300E+00      3.30000E-02
      2.85000E+00      0.00000E+00      2.81200E+00      3.40000E-02
      2.94000E+00      0.00000E+00      2.80600E+00      3.40000E-02
      3.06000E+00      0.00000E+00      2.80000E+00      3.40000E-02
      3.28000E+00      0.00000E+00      2.83300E+00      4.30000E-02
      3.71000E+00      0.00000E+00      2.87100E+00      4.30000E-02
      4.23000E+00      0.00000E+00      2.90300E+00      4.40000E-02
      4.57000E+00      0.00000E+00      2.93700E+00      5.80000E-02
      4.90000E+00      0.00000E+00      3.03200E+00      6.10000E-02
      5.32000E+00      0.00000E+00      3.09500E+00      7.20000E-02
      5.60000E+00      0.00000E+00      3.11000E+00      8.20000E-02
      5.94000E+00      0.00000E+00      3.23400E+00      1.06000E-01
      6.60000E+00      0.00000E+00      3.37300E+00      1.11000E-01
