# entry-subent-pointer  : 20568-002-0 
# EXFOR reaction        : ['92-U-235', ['N,F'], ',PR,NU'] 
# incident energy       : 2.23e-01 MeV - 1.87e+00 MeV 
# target                : U-235 
# product               : - 
# level energy          : - 
# MF-MT number          : 1 - 456 
# first author          : M.Soleilhac 
# institute             : (2FR BRC): CEA/DAM Ile-de-France, Bruyeres-le-Chatel, Arpajon 
# reference             : (C,70HELSINKI,2,145,1970) 
# year                  : 1970 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/205/20568.x4 
# nds                   : https://nds.iaea.org/EXFOR/20568
#
#     E_in(MeV)        dE_in(MeV)       Multiplicity            dMultiplicity
      2.23000E-01      0.00000E+00      2.39900E+00      3.50000E-02
      2.62000E-01      0.00000E+00      2.43800E+00      2.60000E-02
      3.01000E-01      0.00000E+00      2.42400E+00      2.10000E-02
      3.40000E-01      0.00000E+00      2.43900E+00      2.00000E-02
      3.80000E-01      0.00000E+00      2.43500E+00      1.90000E-02
      4.20000E-01      0.00000E+00      2.46200E+00      1.80000E-02
      4.60000E-01      0.00000E+00      2.42500E+00      1.70000E-02
      5.00000E-01      0.00000E+00      2.45600E+00      1.50000E-02
      5.40000E-01      0.00000E+00      2.44900E+00      1.50000E-02
      5.80000E-01      0.00000E+00      2.43900E+00      1.40000E-02
      6.20000E-01      0.00000E+00      2.45000E+00      1.60000E-02
      6.60000E-01      0.00000E+00      2.46300E+00      1.60000E-02
      7.15000E-01      0.00000E+00      2.45200E+00      1.50000E-02
      8.00000E-01      0.00000E+00      2.48500E+00      1.40000E-02
      9.00000E-01      0.00000E+00      2.50500E+00      1.60000E-02
      9.95000E-01      0.00000E+00      2.50800E+00      1.80000E-02
      1.09600E+00      0.00000E+00      2.53500E+00      2.10000E-02
      1.20000E+00      0.00000E+00      2.53400E+00      2.20000E-02
      1.30000E+00      0.00000E+00      2.55400E+00      3.10000E-02
      1.36100E+00      0.00000E+00      2.52700E+00      1.90000E-02
      1.87000E+00      0.00000E+00      2.58700E+00      2.40000E-02
