# entry-subent-pointer  : 21785--00-3-0 
# EXFOR reaction        : ['92-U-235', ['N,F'], ',PR,NU'] 
# incident energy       : 1.14e+00 MeV - 1.47e+01 MeV 
# target                : U-235 
# product               : - 
# level energy          : - 
# MF-MT number          : 1 - 456 
# first author          : J.Frehaut 
# institute             : (2FR BRC): CEA/DAM Ile-de-France, Bruyeres-le-Chatel, Arpajon 
# reference             : (C,82ANTWER,,78,1982) 
# year                  : 1982 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/217/21785.x4 
# nds                   : https://nds.iaea.org/EXFOR/21785
#
#     E_in(MeV)        dE_in(MeV)       Multiplicity            dMultiplicity
      1.14000E+00      2.40000E-01      2.47500E+00      1.80000E-02
      1.73000E+00      1.90000E-01      2.55700E+00      1.70000E-02
      2.30000E+00      1.60000E-01      2.61000E+00      1.90000E-02
      2.85000E+00      1.40000E-01      2.68500E+00      1.90000E-02
      3.38000E+00      1.30000E-01      2.75100E+00      2.10000E-02
      3.91000E+00      1.20000E-01      2.81600E+00      2.20000E-02
      4.43000E+00      1.10000E-01      2.91900E+00      2.20000E-02
      4.95000E+00      1.00000E-01      2.98100E+00      2.30000E-02
      5.47000E+00      9.00000E-02      3.08400E+00      2.20000E-02
      5.99000E+00      9.00000E-02      3.17000E+00      2.30000E-02
      6.03000E+00      3.40000E-01      3.17300E+00      2.10000E-02
      6.50000E+00      8.00000E-02      3.27800E+00      2.50000E-02
      6.61000E+00      2.80000E-01      3.31100E+00      2.10000E-02
      7.17000E+00      2.50000E-01      3.38700E+00      1.90000E-02
      7.71000E+00      2.30000E-01      3.46000E+00      2.00000E-02
      8.23000E+00      2.00000E-01      3.53700E+00      2.10000E-02
      8.75000E+00      1.90000E-01      3.60900E+00      2.30000E-02
      9.26000E+00      1.70000E-01      3.68100E+00      2.20000E-02
      9.77000E+00      1.60000E-01      3.76800E+00      2.50000E-02
      1.02700E+01      1.50000E-01      3.84300E+00      2.60000E-02
      1.07600E+01      1.40000E-01      3.90300E+00      2.90000E-02
      1.12600E+01      1.40000E-01      3.99300E+00      2.90000E-02
      1.17500E+01      1.30000E-01      4.06800E+00      3.50000E-02
      1.22400E+01      1.20000E-01      4.11800E+00      3.00000E-02
      1.27200E+01      1.20000E-01      4.21500E+00      3.10000E-02
      1.32100E+01      1.10000E-01      4.27900E+00      2.70000E-02
      1.36900E+01      1.00000E-01      4.36500E+00      3.60000E-02
      1.41800E+01      1.00000E-01      4.40800E+00      3.20000E-02
      1.46600E+01      1.00000E-01      4.45900E+00      4.00000E-02
