# entry-subent-pointer  : 40033-002-0 
# EXFOR reaction        : ['92-U-235', ['N,F'], ',PR,NU'] 
# incident energy       : 8.00e-02 MeV - 1.51e+00 MeV 
# target                : U-235 
# product               : - 
# level energy          : - 
# MF-MT number          : 1 - 456 
# first author          : V.G.Nesterov 
# institute             : (4RUSFEI): Fiziko-Energeticheskii Institute , Obninsk 
# reference             : (C,70HELSINKI,2,167,197006) 
# year                  : 1970 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/400/40033.x4 
# nds                   : https://nds.iaea.org/EXFOR/40033
#
#     E_in(MeV)        dE_in(MeV)       Multiplicity            dMultiplicity
      8.00000E-02      0.00000E+00      2.40400E+00      1.40000E-02
      2.14000E-01      4.00000E-02      2.46700E+00      2.00000E-02
      3.22000E-01      4.30000E-02      2.45700E+00      2.00000E-02
      4.08000E-01      4.20000E-02      2.47400E+00      2.40000E-02
      5.10000E-01      3.90000E-02      2.48400E+00      2.70000E-02
      6.86000E-01      3.90000E-02      2.45200E+00      2.50000E-02
      8.10000E-01      3.80000E-02      2.51400E+00      2.00000E-02
      9.10000E-01      3.70000E-02      2.51800E+00      2.60000E-02
      1.00200E+00      6.20000E-02      2.55800E+00      2.50000E-02
      1.11200E+00      3.50000E-02      2.57800E+00      2.20000E-02
      1.31400E+00      3.50000E-02      2.57400E+00      2.40000E-02
      1.51500E+00      3.50000E-02      2.57200E+00      2.50000E-02
