# entry-subent-pointer  : 10117--00-8-0 
# EXFOR reaction        : ['94-PU-239', ['N,F'], ',DL,NU'] 
# incident energy       : 5.00e-02 MeV - 1.75e+00 MeV 
# target                : Pu-239 
# product               : - 
# level energy          : - 
# MF-MT number          : 1 - 455 
# first author          : M.S.Krick 
# institute             : (1USALAS): Los Alamos National Laboratory, NM 
# reference             : (J,NSE,47,311,197203) 
# year                  : 1972 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/101/10117.x4 
# nds                   : https://nds.iaea.org/EXFOR/10117
#
#     E_in(MeV)        dE_in(MeV)       Multiplicity            dMultiplicity
      5.00000E-02      0.00000E+00      6.10000E-03      5.00000E-04
      1.10000E-01      0.00000E+00      6.02000E-03      5.00000E-04
      2.10000E-01      0.00000E+00      6.02000E-03      5.00000E-04
      3.20000E-01      0.00000E+00      6.10000E-03      5.00000E-04
      4.30000E-01      0.00000E+00      6.15000E-03      5.00000E-04
      5.30000E-01      0.00000E+00      6.26000E-03      5.00000E-04
      6.40000E-01      0.00000E+00      6.31000E-03      5.00000E-04
      7.40000E-01      0.00000E+00      6.33000E-03      5.00000E-04
      8.40000E-01      0.00000E+00      6.24000E-03      5.00000E-04
      9.40000E-01      0.00000E+00      6.21000E-03      5.00000E-04
      1.05000E+00      0.00000E+00      6.26000E-03      5.00000E-04
      1.15000E+00      0.00000E+00      6.26000E-03      5.00000E-04
      1.25000E+00      0.00000E+00      6.29000E-03      5.00000E-04
      1.35000E+00      0.00000E+00      6.33000E-03      5.00000E-04
      1.45000E+00      0.00000E+00      6.33000E-03      5.00000E-04
      1.55000E+00      0.00000E+00      6.24000E-03      5.00000E-04
      1.65000E+00      0.00000E+00      6.21000E-03      5.00000E-04
      1.75000E+00      0.00000E+00      6.26000E-03      5.00000E-04
