# entry-subent-pointer  : 13964-003-0 
# EXFOR reaction        : ['92-U-235', ['N,F'], ',PR/PAR,NU'] 
# incident energy       : 4.12e-01 MeV - 1.87e+02 MeV 
# target                : U-235 
# product               : - 
# level energy          : 4.15e+00 MeV 
# MF-MT number          : 1 - Miscellaneous 
# first author          : T.Ethvignot 
# institute             : (2FR BRC): CEA/DAM Ile-de-France, Bruyeres-le-Chatel, Arpajon 
# reference             : (J,PRL,94,052701,2005) 
# year                  : 2005 
# facility              : (ACCEL): Accelerator 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/139/13964.x4 
# nds                   : https://nds.iaea.org/EXFOR/13964
#
#     E_in(MeV)        dE_in(MeV)       Multiplicity            dMultiplicity
      4.12000E-01      2.00000E-03      2.34900E+00      3.53000E-01
      6.83000E-01      4.00000E-03      2.26600E+00      3.40000E-01
      9.09000E-01      6.00000E-03      2.41300E+00      3.62000E-01
      1.12800E+00      8.00000E-03      2.46100E+00      3.69000E-01
      1.35800E+00      1.10000E-02      2.44600E+00      3.67000E-01
      1.60900E+00      1.50000E-02      2.59100E+00      3.89000E-01
      1.88200E+00      1.90000E-02      2.66700E+00      4.00000E-01
      2.18800E+00      2.40000E-02      2.67300E+00      4.01000E-01
      2.53900E+00      3.00000E-02      2.86500E+00      4.30000E-01
      2.97000E+00      3.80000E-02      2.81300E+00      4.22000E-01
      3.52300E+00      4.90000E-02      2.83500E+00      4.26000E-01
      4.20800E+00      6.40000E-02      3.00200E+00      4.51000E-01
      5.02100E+00      8.30000E-02      3.14900E+00      4.73000E-01
      6.02700E+00      1.10000E-01      3.21700E+00      4.83000E-01
      6.99500E+00      1.37000E-01      3.30200E+00      4.96000E-01
      8.00800E+00      1.69000E-01      3.57300E+00      5.37000E-01
      9.20200E+00      2.08000E-01      3.74900E+00      5.63000E-01
      1.08290E+01      2.66000E-01      4.01800E+00      6.03000E-01
      1.30870E+01      3.54000E-01      4.06800E+00      6.11000E-01
      1.57890E+01      4.70000E-01      4.55800E+00      6.85000E-01
      1.92920E+01      6.37000E-01      4.85000E+00      7.28000E-01
      2.35790E+01      8.64000E-01      5.44300E+00      8.18000E-01
      2.83810E+01      1.14500E+00      5.93500E+00      8.92000E-01
      3.36960E+01      1.48800E+00      6.47500E+00      9.73000E-01
      3.96560E+01      1.90900E+00      6.77700E+00      1.01800E+00
      4.63630E+01      2.42600E+00      7.33400E+00      1.10200E+00
      5.39690E+01      3.06500E+00      7.83100E+00      1.17700E+00
      6.27050E+01      3.86400E+00      8.21200E+00      1.23400E+00
      7.28420E+01      4.87600E+00      8.78200E+00      1.32000E+00
      8.47150E+01      6.17200E+00      9.08500E+00      1.36500E+00
      9.86350E+01      7.83700E+00      9.62800E+00      1.44700E+00
      1.14831E+02      9.96600E+00      1.00640E+01      1.51200E+00
      1.34062E+02      1.27540E+01      1.07830E+01      1.62000E+00
      1.57673E+02      1.65540E+01      1.12610E+01      1.69200E+00
      1.86967E+02      2.18390E+01      1.18210E+01      1.77600E+00
