# entry-subent-pointer  : 14195-007-0 
# EXFOR reaction        : ['98-CF-252', ['0,F'], '0-G-0,PR/PAR,KE'] 
# incident energy       : 0.00e+00 MeV 
# target                : Cf-252 
# product               : G-0 
# level energy          : 2.20e-01 MeV 
# MF-MT number          : ? - Miscellaneous 
# first author          : V.V.Verbinski 
# institute             : (1USAIRT): Intelcom Radiation Technology, San Diego, CA 
# reference             : (J,PR/C,7,1173,1973) 
# year                  : 1973 
# facility              : (REAC): Reactor 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/141/14195.x4 
# nds                   : https://nds.iaea.org/EXFOR/14195
#
#     E_in(MeV)        dE_in(MeV)      Energy(MeV)            dEnergy(MeV)
      0.00000E+00      0.00000E+00      2.82000E+05      7.00000E+03
      0.00000E+00      0.00000E+00      7.59000E+05      1.90000E+04
      0.00000E+00      0.00000E+00      9.63000E+05      2.40000E+04
      0.00000E+00      0.00000E+00      9.08000E+05      2.30000E+04
      0.00000E+00      0.00000E+00      1.04400E+06      2.60000E+04
      0.00000E+00      0.00000E+00      7.78000E+05      2.00000E+04
      0.00000E+00      0.00000E+00      6.60000E+05      1.70000E+04
      0.00000E+00      0.00000E+00      5.03000E+05      1.30000E+04
      0.00000E+00      0.00000E+00      5.50000E+05      1.40000E+04
      0.00000E+00      0.00000E+00      2.54000E+05      1.00000E+04
      0.00000E+00      0.00000E+00      1.02000E+05      9.00000E+03
      0.00000E+00      0.00000E+00      3.80000E+04      5.00000E+03
      0.00000E+00      0.00000E+00      1.90000E+03      1.40000E+03
