# entry-subent-pointer  : 23593-014-0 
# EXFOR reaction        : ['92-U-235', ['N,F'], '2-HE-4,TER,AKE,LF+HF,MSC'] 
# incident energy       : 2.53e-08 MeV 
# target                : U-235 
# product               : He-4 
# level energy          : 8.77e+00 MeV 
# MF-MT number          : ? - 18 
# first author          : M.Asghar 
# institute             : (2FR BOR): Universite de Bordeaux 
# reference             : (J,NP/A,145,657,1970) 
# year                  : 1970 
# facility              : (REAC): Reactor 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/235/23593.x4 
# nds                   : https://nds.iaea.org/EXFOR/23593
#
#     E_in(MeV)        dE_in(MeV)      Energy(MeV)            dEnergy(MeV)
      2.53000E-08      0.00000E+00      1.57550E+08      2.04200E+06
      2.53000E-08      0.00000E+00      1.57130E+08      0.00000E+00
      2.53000E-08      0.00000E+00      1.55940E+08      1.97200E+06
      2.53000E-08      0.00000E+00      1.55310E+08      0.00000E+00
      2.53000E-08      0.00000E+00      1.54610E+08      0.00000E+00
      2.53000E-08      0.00000E+00      1.53980E+08      1.90100E+06
      2.53000E-08      0.00000E+00      1.53560E+08      0.00000E+00
      2.53000E-08      0.00000E+00      1.52650E+08      0.00000E+00
      2.53000E-08      0.00000E+00      1.52090E+08      1.90100E+06
      2.53000E-08      0.00000E+00      1.51880E+08      0.00000E+00
      2.53000E-08      0.00000E+00      1.50550E+08      1.83100E+06
