# entry-subent-pointer  : 40630-002-0 
# EXFOR reaction        : ['92-U-238', ['N,X'], '0-NN-1,,DE'] 
# incident energy       : 6.02e+00 MeV 
# target                : U-238 
# product               : Nn-1 
# level energy          : 6.20e-01 MeV 
# MF-MT number          : 5 - residual 
# first author          : N.V.Kornilov 
# institute             : (4RUSFEI): Fiziko-Energeticheskii Institute , Obninsk 
# reference             : (C,80KIEV,2,44,198009) 
# year                  : 1980 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/406/40630.x4 
# nds                   : https://nds.iaea.org/EXFOR/40630
#
#          E(MeV)          dE(MeV)      data(MB/MeV)   ddata(MB/MeV)
      6.20000E-01      0.00000E+00      2.27700E-06      1.37000E-07
      7.00000E-01      0.00000E+00      2.18000E-06      1.27000E-07
      8.00000E-01      0.00000E+00      2.03900E-06      1.16000E-07
      9.00000E-01      0.00000E+00      1.86900E-06      1.05000E-07
      1.00000E+00      0.00000E+00      1.72500E-06      9.50000E-08
      1.10000E+00      0.00000E+00      1.52900E-06      8.30000E-08
      1.20000E+00      0.00000E+00      1.44300E-06      7.80000E-08
      1.29000E+00      0.00000E+00      1.28500E-06      6.80000E-08
      1.40000E+00      0.00000E+00      1.18300E-06      6.20000E-08
      1.50000E+00      0.00000E+00      1.11000E-06      5.70000E-08
      1.60000E+00      0.00000E+00      9.70000E-07      5.00000E-08
      1.70000E+00      0.00000E+00      9.02000E-07      4.60000E-08
      1.80000E+00      0.00000E+00      8.42000E-07      4.30000E-08
      1.89000E+00      0.00000E+00      7.84000E-07      3.90000E-08
      1.99000E+00      0.00000E+00      6.97000E-07      3.50000E-08
      2.09000E+00      0.00000E+00      6.62000E-07      3.30000E-08
      2.19000E+00      0.00000E+00      6.07000E-07      3.00000E-08
      2.29000E+00      0.00000E+00      5.58000E-07      2.80000E-08
      2.39000E+00      0.00000E+00      5.53000E-07      2.80000E-08
      2.49000E+00      0.00000E+00      5.02000E-07      2.50000E-08
      2.60000E+00      0.00000E+00      4.90000E-07      2.40000E-08
      2.70000E+00      0.00000E+00      4.24000E-07      2.20000E-08
      2.79000E+00      0.00000E+00      4.07000E-07      2.20000E-08
      2.90000E+00      0.00000E+00      3.84000E-07      1.90000E-08
      3.00000E+00      0.00000E+00      3.41000E-07      2.10000E-08
      3.09000E+00      0.00000E+00      3.45000E-07      1.80000E-08
      3.20000E+00      0.00000E+00      3.15000E-07      1.70000E-08
      3.29000E+00      0.00000E+00      3.34000E-07      2.00000E-08
      3.40000E+00      0.00000E+00      2.92000E-07      1.60000E-08
      3.50000E+00      0.00000E+00      2.80000E-07      1.80000E-08
      3.59000E+00      0.00000E+00      2.88000E-07      1.80000E-08
      3.68000E+00      0.00000E+00      2.53000E-07      1.60000E-08
      3.78000E+00      0.00000E+00      2.24000E-07      1.50000E-08
      3.88000E+00      0.00000E+00      2.39000E-07      1.50000E-08
      3.98000E+00      0.00000E+00      2.28000E-07      1.50000E-08
      4.06000E+00      0.00000E+00      2.10000E-07      1.40000E-08
