# entry-subent-pointer  : 31729--00-4-0 
# EXFOR reaction        : ['92-U-235', ['N,F'], '0-G-0,PR,FY/DE,,MXW'] 
# incident energy       : 1.00e-04 MeV 
# target                : U-235 
# product               : G-0 
# level energy          : 4.20e-02 MeV 
# MF-MT number          : ? - 18 
# first author          : A.Oberstedt 
# institute             : (2SWDSWD): Sweden 
# reference             : (J,PR/C,87,051602,2013) 
# year                  : 2013 
# facility              : (REAC): Reactor 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/317/31729.x4 
# nds                   : https://nds.iaea.org/EXFOR/31729
#
#          E(MeV)          dE(MeV)      data(MB/MeV)   ddata(MB/MeV)
      9.81000E-01      0.00000E+00      2.99750E-06      8.81260E-07
      9.99000E-01      0.00000E+00      3.00020E-06      8.82280E-07
      1.01700E+00      0.00000E+00      2.86570E-06      8.42940E-07
      1.03600E+00      0.00000E+00      2.82140E-06      8.30160E-07
      1.05400E+00      0.00000E+00      2.73910E-06      8.06180E-07
      1.07300E+00      0.00000E+00      2.68150E-06      7.89480E-07
      1.09100E+00      0.00000E+00      2.65550E-06      7.82030E-07
      1.11000E+00      0.00000E+00      2.53400E-06      7.46520E-07
      1.12900E+00      0.00000E+00      2.42710E-06      7.15250E-07
      1.14900E+00      0.00000E+00      2.40590E-06      7.09240E-07
      1.16800E+00      0.00000E+00      2.34570E-06      6.91750E-07
      1.18800E+00      0.00000E+00      2.26490E-06      6.68180E-07
      1.20800E+00      0.00000E+00      2.22830E-06      6.57590E-07
      1.22800E+00      0.00000E+00      2.17320E-06      6.41580E-07
      1.24800E+00      0.00000E+00      2.16630E-06      6.39810E-07
      1.26800E+00      0.00000E+00      2.09670E-06      6.19510E-07
      1.28800E+00      0.00000E+00      2.01760E-06      5.96360E-07
      1.30900E+00      0.00000E+00      1.94170E-06      5.74180E-07
      1.33000E+00      0.00000E+00      1.90670E-06      5.64080E-07
      1.35100E+00      0.00000E+00      1.86820E-06      5.52930E-07
      1.37200E+00      0.00000E+00      1.84440E-06      5.46160E-07
      1.39300E+00      0.00000E+00      1.79260E-06      5.31080E-07
      1.41400E+00      0.00000E+00      1.74820E-06      5.18180E-07
      1.43600E+00      0.00000E+00      1.69830E-06      5.03630E-07
      1.45700E+00      0.00000E+00      1.58470E-06      4.70170E-07
      1.47900E+00      0.00000E+00      1.54140E-06      4.57570E-07
      1.50100E+00      0.00000E+00      1.48870E-06      4.42190E-07
      1.52400E+00      0.00000E+00      1.27650E-06      3.79370E-07
      1.54600E+00      0.00000E+00      1.26690E-06      3.76740E-07
      1.56900E+00      0.00000E+00      1.24630E-06      3.70830E-07
      1.59100E+00      0.00000E+00      1.24890E-06      3.71830E-07
      1.61400E+00      0.00000E+00      1.18810E-06      3.53960E-07
      1.63700E+00      0.00000E+00      1.20920E-06      3.60490E-07
      1.66000E+00      0.00000E+00      1.15420E-06      3.44320E-07
      1.68400E+00      0.00000E+00      1.12450E-06      3.35690E-07
      1.70800E+00      0.00000E+00      1.13130E-06      3.37950E-07
      1.73100E+00      0.00000E+00      1.11190E-06      3.32400E-07
      1.75500E+00      0.00000E+00      1.08790E-06      3.25450E-07
      1.77900E+00      0.00000E+00      9.29490E-07      2.78280E-07
      1.80300E+00      0.00000E+00      7.58020E-07      2.27120E-07
      1.82700E+00      0.00000E+00      7.39420E-07      2.21720E-07
      1.85200E+00      0.00000E+00      7.15820E-07      2.14820E-07
      1.87600E+00      0.00000E+00      7.09790E-07      2.13180E-07
      1.90100E+00      0.00000E+00      6.72560E-07      2.02170E-07
      1.92600E+00      0.00000E+00      6.56380E-07      1.97480E-07
      1.95100E+00      0.00000E+00      6.48090E-07      1.95160E-07
      1.97600E+00      0.00000E+00      7.00020E-07      2.10990E-07
      2.02700E+00      0.00000E+00      5.14490E-07      1.69330E-07
      2.07900E+00      0.00000E+00      5.98740E-07      1.97950E-07
      2.13100E+00      0.00000E+00      5.62020E-07      1.86670E-07
      2.18400E+00      0.00000E+00      5.82690E-07      1.94480E-07
      2.23800E+00      0.00000E+00      5.38850E-07      1.80760E-07
      2.29200E+00      0.00000E+00      5.64300E-07      1.90270E-07
      2.34700E+00      0.00000E+00      5.34250E-07      1.81120E-07
      2.40300E+00      0.00000E+00      5.33930E-07      1.82020E-07
      2.45900E+00      0.00000E+00      5.14870E-07      1.76530E-07
      2.51600E+00      0.00000E+00      4.90900E-07      1.69300E-07
      2.57300E+00      0.00000E+00      4.48540E-07      1.55620E-07
      2.63200E+00      0.00000E+00      4.21220E-07      1.47060E-07
      2.69000E+00      0.00000E+00      3.90570E-07      1.37220E-07
      2.75000E+00      0.00000E+00      3.79400E-07      1.34170E-07
      2.81000E+00      0.00000E+00      3.61470E-07      1.28700E-07
      2.87100E+00      0.00000E+00      3.36790E-07      1.20740E-07
      2.93200E+00      0.00000E+00      3.14790E-07      1.13640E-07
      2.99400E+00      0.00000E+00      2.92550E-07      1.06390E-07
      3.05700E+00      0.00000E+00      2.75990E-07      1.01120E-07
      3.12000E+00      0.00000E+00      2.55960E-07      9.45000E-08
      3.18400E+00      0.00000E+00      2.48390E-07      9.24360E-08
      3.24900E+00      0.00000E+00      2.29770E-07      8.62060E-08
      3.31400E+00      0.00000E+00      2.14240E-07      8.10570E-08
      3.38000E+00      0.00000E+00      2.04990E-07      7.82310E-08
      3.44700E+00      0.00000E+00      1.89370E-07      7.29230E-08
      3.51400E+00      0.00000E+00      1.76630E-07      6.86450E-08
      3.58200E+00      0.00000E+00      1.62070E-07      6.35920E-08
      3.65000E+00      0.00000E+00      1.55640E-07      6.16750E-08
      3.71900E+00      0.00000E+00      1.41550E-07      5.66690E-08
      3.78900E+00      0.00000E+00      1.33210E-07      5.39030E-08
      3.86000E+00      0.00000E+00      1.25640E-07      5.14090E-08
