# entry-subent-pointer  : 14570-002-0 
# EXFOR reaction        : ['94-PU-241', ['N,F'], ',,NU'] 
# incident energy       : 0.00e+00 MeV - 2.00e+01 MeV 
# target                : Pu-241 
# product               : - 
# level energy          : - 
# MF-MT number          : 1 - 452 
# first author          : O.A.Akindele 
# institute             : (1USAUCX): University of California, Berkeley, CA 
# reference             : (J,PR/C,99,054601,2019) 
# year                  : 2019 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/145/14570.x4 
# nds                   : https://nds.iaea.org/EXFOR/14570
#
#     E_in(MeV)        dE_in(MeV)       Multiplicity            dMultiplicity
      0.00000E+00      2.50000E-01      2.90000E+00      1.18000E-01
      5.00000E-01      2.50000E-01      2.92000E+00      9.40000E-02
      1.00000E+00      2.50000E-01      2.88000E+00      1.00000E-01
      1.50000E+00      2.50000E-01      3.17000E+00      1.12000E-01
      2.00000E+00      2.50000E-01      3.09000E+00      1.08000E-01
      2.50000E+00      2.50000E-01      3.16000E+00      1.11000E-01
      3.00000E+00      2.50000E-01      3.25000E+00      1.17000E-01
      3.50000E+00      2.50000E-01      3.37000E+00      1.24000E-01
      4.00000E+00      2.50000E-01      3.43000E+00      1.26000E-01
      4.50000E+00      2.50000E-01      3.49000E+00      1.28000E-01
      5.00000E+00      2.50000E-01      3.54000E+00      1.34000E-01
      5.50000E+00      2.50000E-01      3.72000E+00      1.42000E-01
      6.00000E+00      2.50000E-01      3.70000E+00      1.42000E-01
      6.50000E+00      2.50000E-01      3.85000E+00      1.46000E-01
      7.00000E+00      2.50000E-01      3.85000E+00      1.45000E-01
      7.50000E+00      2.50000E-01      4.17000E+00      1.49000E-01
      8.00000E+00      2.50000E-01      4.05000E+00      1.41000E-01
      8.50000E+00      2.50000E-01      4.05000E+00      1.42000E-01
      9.00000E+00      2.50000E-01      4.16000E+00      1.47000E-01
      9.50000E+00      2.50000E-01      4.19000E+00      1.50000E-01
      1.00000E+01      2.50000E-01      4.30000E+00      1.55000E-01
      1.05000E+01      2.50000E-01      4.26000E+00      1.55000E-01
      1.10000E+01      2.50000E-01      4.54000E+00      1.64000E-01
      1.15000E+01      2.50000E-01      4.46000E+00      1.66000E-01
      1.20000E+01      2.50000E-01      4.46000E+00      1.71000E-01
      1.25000E+01      2.50000E-01      4.51000E+00      1.74000E-01
      1.30000E+01      2.50000E-01      4.64000E+00      1.78000E-01
      1.35000E+01      2.50000E-01      4.70000E+00      1.80000E-01
      1.40000E+01      2.50000E-01      4.83000E+00      1.77000E-01
      1.45000E+01      2.50000E-01      4.85000E+00      1.82000E-01
      1.50000E+01      2.50000E-01      4.82000E+00      1.82000E-01
      1.55000E+01      2.50000E-01      5.05000E+00      1.83000E-01
      1.60000E+01      2.50000E-01      4.95000E+00      1.89000E-01
      1.65000E+01      2.50000E-01      5.00000E+00      1.84000E-01
      1.70000E+01      2.50000E-01      5.19000E+00      1.91000E-01
      1.75000E+01      2.50000E-01      5.18000E+00      1.94000E-01
      1.80000E+01      2.50000E-01      5.27000E+00      1.94000E-01
      1.85000E+01      2.50000E-01      5.06000E+00      1.91000E-01
      1.90000E+01      2.50000E-01      5.22000E+00      1.95000E-01
      1.95000E+01      2.50000E-01      5.39000E+00      1.99000E-01
      2.00000E+01      2.50000E-01      5.46000E+00      2.07000E-01
