# entry-subent-pointer  : 23164--00-6-0 
# EXFOR reaction        : ['92-U-234', ['N,F'], 'MASS,PRE,FY'] 
# incident energy       : 2.00e-03 MeV 
# target                : U-234 
# product               : 61.0 <= mass <= 174.0 
# level energy          : - 
# MF-MT number          : 8 - 460 
# first author          : A.Al-Adili 
# institute             : (2ZZZGEL): EC Joint Research Centre (EC-JRC), Geel 
# reference             : (J,PR/C,93,034603,2016) 
# year                  : 2016 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/231/23164.x4 
# nds                   : https://nds.iaea.org/EXFOR/23164
#
# Charge(No Dim.)    Mass(No Dim.)  Isomer(No Dim.)    Yield(%/fiss)   dYield(%/fiss)
              nan            165.0              nan      1.06000E-05      4.74000E-06
              nan            166.0              nan      1.90800E-05      6.36000E-06
              nan            167.0              nan      1.48400E-05      5.61000E-06
              nan            168.0              nan      1.48400E-05      5.61000E-06
              nan            169.0              nan      6.36000E-06      3.67000E-06
              nan            170.0              nan      1.27200E-05      5.19000E-06
              nan            171.0              nan      4.24000E-06      3.00000E-06
              nan            172.0              nan      2.12000E-06      2.12000E-06
              nan            173.0              nan      2.12000E-06      2.12000E-06
              nan            174.0              nan      4.24000E-06      3.00000E-06
